income 10,Under 10k with ,Under 10k without,10 to 20 income,% with,10 to 20 without,20 to 35 income,20 to 35 with,20 to 35 without,35 to 50 income,35 to 50 with,35 to 50 without,50 to 75 income,50 to 75 With,50 to 75 Without,over 75 income,75+ with,75+ without
5000,0,0.3,15000,0,0.3,27500,1,0.19,42500,0,0.16,62500,0,0.24,80000,1,0.05
5000,0,0.33,15000,0,0.43,27500,0,0.31,42500,0,0.3,62500,1,0.05,80000,1,0.12
5000,0,0.51,15000,0,0.22,27500,0,0.29,42500,0,0.16,62500,1,0.13,80000,1,0.1
5000,0,0.31,15000,0,0.51,27500,0,0.33,42500,1,0.1,62500,1,0.07,80000,1,0.05
5000,0,0.39,15000,0,0.45,27500,0,0.33,42500,1,0.12,62500,1,0.11,80000,1,0.08
5000,0,0.35,15000,0,0.28,27500,0,0.23,42500,0,0.25,62500,1,0.15,80000,1,0.07
5000,0,0.57,15000,0,0.48,27500,0,0.35,42500,0,0.2,62500,0,0.2,80000,1,0.1
5000,0,0.38,15000,0,0.39,27500,0,0.28,42500,1,0.14,62500,1,0.1,80000,1,0.06
5000,0,0.38,15000,0,0.41,27500,0,0.45,42500,0,0.24,62500,1,0.13,80000,1,0.11
5000,0,0.45,15000,0,0.25,27500,0,0.27,42500,0,0.2,62500,1,0.09,80000,1,0.04
5000,0,0.34,15000,0,0.6,27500,0,0.23,42500,0,0.21,62500,1,0.1,80000,1,0.07
5000,0,0.27,15000,0,0.33,27500,0,0.2,42500,1,0.14,62500,1,0.08,80000,1,0.04
5000,0,0.46,15000,0,0.34,27500,0,0.18,42500,1,0.12,62500,1,0.11,80000,1,0.07
5000,0,0.38,15000,0,0.45,27500,0,0.24,42500,0,0.2,62500,1,0.13,80000,1,0.05
5000,0,0.52,15000,0,0.38,27500,0,0.2,42500,1,0.14,62500,1,0.08,80000,1,0.05
5000,0,0.39,15000,0,0.37,27500,0,0.27,42500,0,0.27,62500,0,0.2,80000,1,0.06
5000,0,0.62,15000,0,0.42,27500,0,0.33,42500,1,0.08,62500,1,0.11,80000,1,0.01
5000,0,0.16,15000,0,0.5,27500,0,0.23,42500,1,0.11,62500,1,0.07,80000,1,0.02
5000,0,0.3,15000,0,0.42,27500,1,0.15,42500,1,0.14,62500,1,0.15,80000,1,0.06
5000,0,0.33,15000,0,0.36,27500,0,0.23,42500,0,0.21,62500,0,0.21,80000,1,0.06
5000,0,0.47,15000,0,0.36,27500,0,0.32,42500,0,0.31,62500,1,0.17,80000,1,0.05
5000,0,0.4,15000,0,0.23,27500,1,0.11,42500,1,0.16,62500,1,0.1,80000,1,0.03
5000,1,0.06,15000,0,0.49,27500,1,0.11,42500,0,0.18,62500,1,0.06,80000,1,0.06
5000,0,0.3,15000,0,0.41,27500,0,0.19,42500,1,0.15,62500,1,0.09,80000,1,0.04
5000,0,0.84,15000,0,0.77,27500,0,0.81,42500,0,0.59,62500,0,0.61,80000,1,0.37
5000,0,0.5,15000,0,0.35,27500,0,0.25,42500,0,0.19,62500,1,0.06,80000,1,0.02
5000,0,0.5,15000,0,0.24,27500,0,0.24,42500,0,0.27,62500,0,0.27,80000,1,0.06
