"B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer","id","Geographic Area Name"
"83501","2931","77443","2976","305","332","70029","2991","7109","1822","6058","1474","0500000US01003","Baldwin County, Alabama"
"44264","1834","38768","1871","229","205","33804","1796","4735","1143","5496","969","0500000US01015","Calhoun County, Alabama"
"30323","1437","26269","1408","204","216","24005","1371","2060","657","4054","753","0500000US01043","Cullman County, Alabama"
"26462","1458","22675","1395","0","201","20564","1400","2111","672","3787","904","0500000US01049","DeKalb County, Alabama"
"30155","1094","26120","1194","41","68","23855","1252","2224","955","4035","874","0500000US01051","Elmore County, Alabama"
"38625","1544","34041","1772","0","201","31393","1834","2648","772","4584","888","0500000US01055","Etowah County, Alabama"
"38861","1098","31815","1167","192","153","28515","1143","3108","498","7046","800","0500000US01069","Houston County, Alabama"
"255940","3851","228104","4302","163","150","210527","4618","17414","2365","27836","2209","0500000US01073","Jefferson County, Alabama"
"38670","1735","33173","2072","50","84","29038","2116","4085","1104","5497","1147","0500000US01077","Lauderdale County, Alabama"
"59336","1847","54953","2202","237","297","48004","2401","6712","1857","4383","1349","0500000US01081","Lee County, Alabama"
"32333","1294","29448","1423","42","69","26420","1702","2986","1052","2885","730","0500000US01083","Limestone County, Alabama"
"152723","1873","142330","2671","94","124","133546","3200","8690","1963","10393","1677","0500000US01089","Madison County, Alabama"
"36022","1112","31983","1408","0","201","29851","1430","2132","667","4039","947","0500000US01095","Marshall County, Alabama"
"158627","3164","139806","3179","3176","1312","120923","3607","15707","1790","18821","1979","0500000US01097","Mobile County, Alabama"
"87553","2304","77480","2684","136","174","71036","2552","6308","1154","10073","1512","0500000US01101","Montgomery County, Alabama"
"45851","1482","39562","1910","34","60","36457","1911","3071","816","6289","1457","0500000US01103","Morgan County, Alabama"
"30765","1596","27064","1950","170","209","24977","2137","1917","797","3701","1149","0500000US01115","St. Clair County, Alabama"
"80944","1588","77041","1777","85","89","72383","1941","4573","1267","3903","1037","0500000US01117","Shelby County, Alabama"
"31219","1460","26614","1675","78","99","24974","1693","1562","497","4605","1156","0500000US01121","Talladega County, Alabama"
"74053","2334","66782","2497","332","354","60190","2408","6260","1498","7271","1232","0500000US01125","Tuscaloosa County, Alabama"
"24870","1142","20611","1177","91","135","18716","1249","1804","623","4259","935","0500000US01127","Walker County, Alabama"
"105285","2132","102774","2178","37","64","96052","2505","6685","1623","2511","773","0500000US02020","Anchorage Municipality, Alaska"
"36378","1770","35386","1718","463","433","32317","2084","2606","1101","992","550","0500000US02090","Fairbanks North Star Borough, Alaska"
"32198","833","30574","945","97","89","27975","1055","2502","528","1624","393","0500000US02170","Matanuska-Susitna Borough, Alaska"
"21936","1023","11613","911","13","22","7460","872","4140","719","10323","906","0500000US04001","Apache County, Arizona"
"49751","1727","44638","1930","82","87","41176","2073","3380","995","5113","1191","0500000US04003","Cochise County, Arizona"
"47275","2211","44044","2198","134","117","37912","2182","5998","1276","3231","896","0500000US04005","Coconino County, Arizona"
"1582464","7714","1500214","8034","4530","1091","1391150","8543","104534","5550","82250","3977","0500000US04013","Maricopa County, Arizona"
"90270","2972","80602","3259","207","192","73861","3395","6534","1430","9668","2071","0500000US04015","Mohave County, Arizona"
"34285","1984","27048","1800","115","117","21340","1797","5593","985","7237","935","0500000US04017","Navajo County, Arizona"
"402323","4369","376840","4770","1417","434","348349","5239","27074","2409","25483","2482","0500000US04019","Pima County, Arizona"
"147936","3458","138369","3397","357","256","127064","3207","10948","1727","9567","1604","0500000US04021","Pinal County, Arizona"
"100836","2498","92633","2994","439","484","84689","3376","7505","1597","8203","1627","0500000US04025","Yavapai County, Arizona"
"74532","2212","66552","2529","446","366","58292","2137","7814","1821","7980","1388","0500000US04027","Yuma County, Arizona"
"100128","1660","94182","2024","89","147","83734","2040","10359","1692","5946","1252","0500000US05007","Benton County, Arkansas"
"42631","1302","39087","1695","0","201","33592","1697","5495","1448","3544","917","0500000US05031","Craighead County, Arkansas"
"43701","1747","39629","1925","53","88","34958","1823","4618","1174","4072","1099","0500000US05045","Faulkner County, Arkansas"
