Total,One or more types of computing devices,Desktop/laptop,Only Desktop/laptop,Smartphone,Only Smartphone,Tablet/portable,Only Tablet/portable,Other computing device,Only other,No computer,>10K,> $10k With Internet subscription ,> $10k!!Without an Internet subscription,Total!!$10k to $19.9k,$10k to $19.9k!!With Internet subscription ,$10k to  $19.9k!!Without an Internet subscription,"$20,000 to $34,999",$20k to $34.9k!!With Internet subscription,$20k to $34.9k!!Without an Internet subscription,"$35,000 to $49,999",$35k to $49.9k!!With Internet subscription,$35k to $49.9k!!Without an Internet subscription,$50k to $74.9k,"$50k to $74,999!!With Internet subscription",$50k to $74..9k!!Without an Internet subscription,>$75k ,>$75k!!With Internet subscription ,">$75,000!!Without an Internet subscription",id,Geographic Area Name
83501,77443,62729,4403,70185,9358,53266,1100,1184,0,6058,4888,3418,1470,5600,3893,1707,15150,12249,2901,10925,9207,1718,16323,13211,3112,30615,29089,1526,1003,"Baldwin County, Alabama"
44264,38768,30768,3054,32921,3865,25422,1164,1225,82,5496,4247,2831,1416,5799,3329,2470,8027,5543,2484,4925,3431,1494,7960,7563,397,13306,11647,1659,1015,"Calhoun County, Alabama"
30323,26269,19117,654,24088,3948,17024,689,447,48,4054,2104,1026,1078,3831,2994,837,5895,4176,1719,4939,4153,786,5050,4470,580,8504,7684,820,1043,"Cullman County, Alabama"
26462,22675,15879,1440,20442,4172,13094,306,250,0,3787,2714,1864,850,4073,1989,2084,5914,3955,1959,3130,2803,327,4147,3891,256,6484,6144,340,1049,"DeKalb County, Alabama"
30155,26120,21528,599,24958,2809,19449,313,717,0,4035,1911,1166,745,3171,1742,1429,3733,2486,1247,3339,2953,386,6504,5863,641,11497,10562,935,1051,"Elmore County, Alabama"
38625,34041,23824,1682,30802,6626,18929,403,673,171,4584,2174,1410,764,4553,3294,1259,8650,6620,2030,5385,4043,1342,5756,5004,752,12107,11214,893,1055,"Etowah County, Alabama"
38861,31815,24932,3843,27072,4870,18327,344,720,22,7046,3495,1520,1975,5058,2650,2408,6093,3973,2120,5306,4226,1080,6623,5525,1098,12286,11118,1168,1069,"Houston County, Alabama"
255940,228104,182830,7648,211652,27675,148073,2633,4549,0,27836,21288,13228,8060,26647,16376,10271,37175,26783,10392,30291,26102,4189,44787,40811,3976,95752,90433,5319,1073,"Jefferson County, Alabama"
38670,33173,26145,2465,29423,4884,19788,594,946,0,5497,2569,1595,974,4563,2694,1869,5901,3252,2649,6634,5056,1578,7266,6443,823,11737,10399,1338,1077,"Lauderdale County, Alabama"
59336,54953,46742,1720,52100,3724,40170,457,1500,0,4383,8077,4407,3670,6740,5058,1682,9588,7045,2543,6427,5131,1296,7445,6860,585,21059,20132,927,1081,"Lee County, Alabama"
32333,29448,24010,997,26811,2369,22155,321,996,0,2885,1378,915,463,3608,1458,2150,4428,3409,1019,3644,2889,755,5449,4949,500,13826,12888,938,1083,"Limestone County, Alabama"
152723,142330,123026,5721,132790,10673,97662,1567,3493,0,10393,9579,6982,2597,13288,8893,4395,19614,15763,3851,18897,16178,2719,27302,25329,1973,64043,61406,2637,1089,"Madison County, Alabama"
36022,31983,23158,1282,29609,6274,19446,251,565,0,4039,3193,1725,1468,4249,2819,1430,6548,5370,1178,4456,3914,542,6863,6201,662,10713,9934,779,1095,"Marshall County, Alabama"
