Total,One or more types of computing devices,Desktop/laptop,Only Desktop/laptop,Smartphone,Only Smartphone,Tablet/portable,Only Tablet/portable,Other computing device,Only other,No computer,id,Geographic Area Name
83501,77443,62729,4403,70185,9358,53266,1100,1184,0,6058,1003,"Baldwin County, Alabama"
44264,38768,30768,3054,32921,3865,25422,1164,1225,82,5496,1015,"Calhoun County, Alabama"
30323,26269,19117,654,24088,3948,17024,689,447,48,4054,1043,"Cullman County, Alabama"
26462,22675,15879,1440,20442,4172,13094,306,250,0,3787,1049,"DeKalb County, Alabama"
30155,26120,21528,599,24958,2809,19449,313,717,0,4035,1051,"Elmore County, Alabama"
38625,34041,23824,1682,30802,6626,18929,403,673,171,4584,1055,"Etowah County, Alabama"
38861,31815,24932,3843,27072,4870,18327,344,720,22,7046,1069,"Houston County, Alabama"
255940,228104,182830,7648,211652,27675,148073,2633,4549,0,27836,1073,"Jefferson County, Alabama"
38670,33173,26145,2465,29423,4884,19788,594,946,0,5497,1077,"Lauderdale County, Alabama"
59336,54953,46742,1720,52100,3724,40170,457,1500,0,4383,1081,"Lee County, Alabama"
32333,29448,24010,997,26811,2369,22155,321,996,0,2885,1083,"Limestone County, Alabama"
152723,142330,123026,5721,132790,10673,97662,1567,3493,0,10393,1089,"Madison County, Alabama"
36022,31983,23158,1282,29609,6274,19446,251,565,0,4039,1095,"Marshall County, Alabama"
158627,139806,98921,5796,129208,30024,74175,1777,2040,0,18821,1097,"Mobile County, Alabama"
87553,77480,57320,2629,71689,13054,51892,1114,1901,29,10073,1101,"Montgomery County, Alabama"
45851,39562,33452,2728,36028,3880,26860,243,1453,0,6289,1103,"Morgan County, Alabama"
30765,27064,22292,2325,23331,1724,19586,358,408,0,3701,1115,"St. Clair County, Alabama"
80944,77041,65403,1715,73297,6998,58702,444,3310,0,3903,1117,"Shelby County, Alabama"
31219,26614,20191,1601,24141,3832,17586,361,298,0,4605,1121,"Talladega County, Alabama"
74053,66782,51504,2904,62290,10249,41261,794,2049,0,7271,1125,"Tuscaloosa County, Alabama"
