id,total (total_pop),total (int_access),total (income),perc_int_access,perc_income
39061,816684,344562,200962,42.1904,24.6071
39063,75930,31606,19705,41.6252,25.9515
39081,65767,27292,16722,41.498,25.4261
39085,230514,96577,61277,41.8964,26.5828
39089,175769,62237,44495,35.4084,25.3145
39093,309461,121344,80178,39.2114,25.9089
39095,429899,178289,103610,41.4723,24.101
39099,229642,97365,59412,42.3986,25.8716
39101,65256,24205,14270,37.0924,21.8677
40143,648360,250492,158364,38.6347,24.4253
40145,80110,30186,22783,37.6807,28.4396
41003,92101,35520,20800,38.5664,22.5839
53053,891299,328519,223206,36.8585,25.0428
53057,128206,48474,33216,37.8095,25.9083
53061,814901,300215,211582,36.8407,25.9641
53063,514631,206191,129299,40.0658,25.1246
53067,286419,110713,73809,38.6542,25.7696
53073,225685,87080,52754,38.5848,23.3751
53077,251446,83320,60727,33.1363,24.1511
54003,117123,45800,29077,39.1042,24.826
54011,93224,38024,20673,40.7878,22.1756
54033,67554,26878,16051,39.7874,23.7603
54039,180454,78482,45228,43.4914,25.0635
54061,106420,40603,21507,38.1535,20.2095
54081,74254,31169,19889,41.9762,26.7851
54107,84203,36064,22130,42.8298,26.2817
55009,263378,104470,66181,39.6654,25.1278
55025,542364,226350,127612,41.734,23.5288
6067,1540975,543560,359266,35.2738,23.3142
6071,2171603,638647,486914,29.409,22.4219
6073,3343364,1130911,761247,33.8255,22.7689
6075,883305,362827,178643,41.0761,20.2244
6077,752660,231917,174492,30.813,23.1834
6079,284010,106198,67284,37.3923,23.6907
6081,769545,259654,182198,33.7412,23.6761
6083,446527,146224,100497,32.747,22.5064
48061,423908,124812,99070,29.4432,23.3706
48085,1005146,344824,253044,34.3059,25.1749
48091,148373,53182,38383,35.8434,25.8693
18043,77781,30300,19707,38.9555,25.3365
18053,65936,26923,17508,40.832,26.553
18057,330086,122876,93370,37.2254,28.2866
18059,76351,29605,20426,38.7749,26.7528
18063,167009,60368,45502,36.1466,27.2452
18067,82366,35139,23489,42.662,28.5178
18081,156225,57504,41158,36.8084,26.3453
18085,79344,30798,20175,38.8158,25.4273
18089,484411,186769,122000,38.5559,25.1852
18091,110007,43122,27658,39.1993,25.142
18095,129641,50426,32081,38.8966,24.746
18097,954670,373634,206317,39.1375,21.6113
18105,146917,57102,30220,38.8668,20.5694
18109,70116,25968,19642,37.0358,28.0136
18127,169594,66144,43374,39.0014,25.5752
18141,270771,107730,65770,39.7864,24.2899
18157,193048,70446,39265,36.4914,20.3395
18163,180974,75058,43505,41.4745,24.0394
18167,107386,43262,24852,40.2864,23.1427
18177,65936,28338,18288,42.978,27.736
19013,132408,53386,32401,40.3193,24.4706
19049,90180,35492,24120,39.3568,26.7465
19061,96854,38501,24381,39.7516,25.1729
19103,151260,60868,33567,40.2406,22.1916
19113,225909,91747,54685,40.6124,24.2066
19153,487204,189546,119472,38.9049,24.522
19155,93533,36635,23277,39.168,24.8864
19163,173283,66905,41240,38.6102,23.7992
19169,98105,37290,19329,38.0103,19.7024
19193,102539,39253,26451,38.281,25.796
20015,66765,24692,18338,36.9834,27.4665
20045,121436,48907,26355,40.2739,21.7028
20091,597555,231184,156199,38.6883,26.1397
20103,81352,26654,18837,32.7638,23.1549
20161,73703,26617,13019,36.1139,17.6641
20173,513607,198024,123752,38.5555,24.0947
20177,177499,72788,44345,41.0076,24.9832
20209,165324,60708,38635,36.7206,23.3693
