index,id,geographic_area_name,households,avg_household_income_dollars
1,1003,"Baldwin County, Alabama",83501,80251
2,1015,"Calhoun County, Alabama",44264,61117
3,1043,"Cullman County, Alabama",30323,67585
4,1049,"DeKalb County, Alabama",26462,57354
5,1051,"Elmore County, Alabama",30155,70961
6,1055,"Etowah County, Alabama",38625,63046
7,1069,"Houston County, Alabama",38861,66880
8,1073,"Jefferson County, Alabama",255940,78690
9,1077,"Lauderdale County, Alabama",38670,69253
10,1081,"Lee County, Alabama",59336,73270
11,1083,"Limestone County, Alabama",32333,76168
12,1089,"Madison County, Alabama",152723,85717
13,1095,"Marshall County, Alabama",36022,63466
14,1097,"Mobile County, Alabama",158627,60779
15,1101,"Montgomery County, Alabama",87553,74318
16,1103,"Morgan County, Alabama",45851,70726
17,1115,"St. Clair County, Alabama",30765,69677
18,1117,"Shelby County, Alabama",80944,96481
19,1121,"Talladega County, Alabama",31219,58110
20,1125,"Tuscaloosa County, Alabama",74053,71000
21,1127,"Walker County, Alabama",24870,64412
22,2020,"Anchorage Municipality, Alaska",105285,106660
23,2090,"Fairbanks North Star Borough, Alaska",36378,98389
24,2170,"Matanuska-Susitna Borough, Alaska",32198,91159
25,4001,"Apache County, Arizona",21936,42002
26,4003,"Cochise County, Arizona",49751,64549
27,4005,"Coconino County, Arizona",47275,78885
28,4013,"Maricopa County, Arizona",1582464,89077
29,4015,"Mohave County, Arizona",90270,57206
30,4017,"Navajo County, Arizona",34285,53791
31,4019,"Pima County, Arizona",402323,73423
32,4021,"Pinal County, Arizona",147936,69864
33,4025,"Yavapai County, Arizona",100836,65373
34,4027,"Yuma County, Arizona",74532,59035
35,5007,"Benton County, Arkansas",100128,97031
36,5031,"Craighead County, Arkansas",42631,62797
37,5045,"Faulkner County, Arkansas",43701,71385
38,5051,"Garland County, Arkansas",40407,63690
39,5069,"Jefferson County, Arkansas",25689,53235
40,5085,"Lonoke County, Arkansas",28132,70716
41,5119,"Pulaski County, Arkansas",157678,78950
42,5125,"Saline County, Arkansas",43496,76913
43,5131,"Sebastian County, Arkansas",51739,65730
44,5143,"Washington County, Arkansas",90001,72794
45,5145,"White County, Arkansas",29577,62733
46,6001,"Alameda County, California",575410,134377
47,6007,"Butte County, California",88636,72948
48,6013,"Contra Costa County, California",396133,137621
49,6017,"El Dorado County, California",72774,108803
50,6019,"Fresno County, California",309519,72519
51,6023,"Humboldt County, California",55773,64549
52,6025,"Imperial County, California",41764,60686
53,6029,"Kern County, California",273167,71441
54,6031,"Kings County, California",43727,74030
55,6033,"Lake County, California",26774,71170
56,6037,"Los Angeles County, California",3313908,98977
57,6039,"Madera County, California",44484,71817
58,6041,"Marin County, California",104954,172907
59,6045,"Mendocino County, California",33794,66691
60,6047,"Merced County, California",79487,76713
61,6053,"Monterey County, California",126299,100358
62,6055,"Napa County, California",47315,112978
63,6057,"Nevada County, California",41447,86835
64,6059,"Orange County, California",1040394,122301
65,6061,"Placer County, California",144691,111541
66,6065,"Riverside County, California",728103,89761
67,6067,"Sacramento County, California",543560,89707
68,6071,"San Bernardino County, California",638647,82105
69,6073,"San Diego County, California",1130911,106237
70,6075,"San Francisco County, California",362827,166893
71,6077,"San Joaquin County, California",231917,84697
72,6079,"San Luis Obispo County, California",106198,96520
73,6081,"San Mateo County, California",259654,176077
74,6083,"Santa Barbara County, California",146224,110655
75,6085,"Santa Clara County, California",645108,170966
76,6087,"Santa Cruz County, California",94994,119608
77,6089,"Shasta County, California",68198,71942
78,6095,"Solano County, California",152291,102658
79,6097,"Sonoma County, California",187434,108278
80,6099,"Stanislaus County, California",175171,78370
81,6101,"Sutter County, California",31989,81131
82,6107,"Tulare County, California",139197,71856
83,6111,"Ventura County, California",271980,110437
84,6113,"Yolo County, California",74428,94082
85,6115,"Yuba County, California",26191,64235
86,8001,"Adams County, Colorado",168361,88163
87,8005,"Arapahoe County, Colorado",242141,103078
88,8013,"Boulder County, Colorado",128295,113968
89,8014,"Broomfield County, Colorado",28530,120782
90,8031,"Denver County, Colorado",310324,99728
91,8035,"Douglas County, Colorado",125035,145975
92,8041,"El Paso County, Colorado",260851,87839
93,8059,"Jefferson County, Colorado",233272,106269
94,8069,"Larimer County, Colorado",139382,92688
95,8077,"Mesa County, Colorado",61848,68620
96,8101,"Pueblo County, Colorado",64954,60765
97,8123,"Weld County, Colorado",107929,90525
98,9001,"Fairfield County, Connecticut",345634,150366
99,9003,"Hartford County, Connecticut",348049,101945
100,9005,"Litchfield County, Connecticut",73598,102726
101,9007,"Middlesex County, Connecticut",66983,111125
102,9009,"New Haven County, Connecticut",335539,94343
103,9011,"New London County, Connecticut",108098,88552
104,9013,"Tolland County, Connecticut",55619,109684
105,9015,"Windham County, Connecticut",44571,80779
106,10001,"Kent County, Delaware",67841,69806
107,10003,"New Castle County, Delaware",206351,92186
108,10005,"Sussex County, Delaware",93479,79758
109,11001,"District of Columbia, District of Columbia",287476,124946
110,12001,"Alachua County, Florida",97782,74463
111,12005,"Bay County, Florida",73856,69929
112,12009,"Brevard County, Florida",226363,75604
113,12011,"Broward County, Florida",694980,84524
114,12015,"Charlotte County, Florida",74975,69586
115,12017,"Citrus County, Florida",62293,56965
116,12019,"Clay County, Florida",75958,78340
117,12021,"Collier County, Florida",144172,112143
118,12023,"Columbia County, Florida",25678,68973
119,12031,"Duval County, Florida",367238,79177
120,12033,"Escambia County, Florida",118820,70570
121,12035,"Flagler County, Florida",41274,78065
122,12053,"Hernando County, Florida",76163,59781
123,12055,"Highlands County, Florida",40573,62081
124,12057,"Hillsborough County, Florida",540142,83192
125,12061,"Indian River County, Florida",57636,89442
126,12069,"Lake County, Florida",136366,69914
127,12071,"Lee County, Florida",281222,80438
128,12073,"Leon County, Florida",113390,75817
129,12081,"Manatee County, Florida",150814,86163
130,12083,"Marion County, Florida",143441,61351
131,12085,"Martin County, Florida",63070,96957
132,12086,"Miami-Dade County, Florida",895801,79418
133,12087,"Monroe County, Florida",31362,117436
134,12089,"Nassau County, Florida",32624,91826
135,12091,"Okaloosa County, Florida",79570,82094
136,12095,"Orange County, Florida",458157,83043
137,12097,"Osceola County, Florida",102705,67109
138,12099,"Palm Beach County, Florida",552286,97332
139,12101,"Pasco County, Florida",205128,71182
140,12103,"Pinellas County, Florida",405892,75715
141,12105,"Polk County, Florida",241171,67367
142,12107,"Putnam County, Florida",27927,55109
143,12109,"St. Johns County, Florida",90109,110555
144,12111,"St. Lucie County, Florida",118768,70069
145,12113,"Santa Rosa County, Florida",63891,89919
146,12115,"Sarasota County, Florida",183721,89010
147,12117,"Seminole County, Florida",179274,90253
148,12119,"Sumter County, Florida",62854,67209
149,12127,"Volusia County, Florida",218423,69008
150,12131,"Walton County, Florida",28770,87915
151,13013,"Barrow County, Georgia",27525,73157
152,13015,"Bartow County, Georgia",35506,67477
153,13021,"Bibb County, Georgia",57905,57834
154,13031,"Bulloch County, Georgia",27097,58705
155,13045,"Carroll County, Georgia",41197,70130
156,13047,"Catoosa County, Georgia",24722,72319
157,13051,"Chatham County, Georgia",107921,81566
158,13057,"Cherokee County, Georgia",89974,100223
159,13059,"Clarke County, Georgia",49698,60185
160,13063,"Clayton County, Georgia",96286,58543
161,13067,"Cobb County, Georgia",283094,105969
162,13073,"Columbia County, Georgia",47167,103682
163,13077,"Coweta County, Georgia",52114,87585
164,13089,"DeKalb County, Georgia",287001,92984
165,13095,"Dougherty County, Georgia",33717,53258
166,13097,"Douglas County, Georgia",49534,76860
167,13113,"Fayette County, Georgia",39366,126801
168,13115,"Floyd County, Georgia",34672,61873
169,13117,"Forsyth County, Georgia",81353,128969
170,13121,"Fulton County, Georgia",417157,115257
171,13127,"Glynn County, Georgia",34634,84585
172,13135,"Gwinnett County, Georgia",297658,90733
173,13139,"Hall County, Georgia",64990,85602
174,13151,"Henry County, Georgia",75926,89068
175,13153,"Houston County, Georgia",58155,82242
176,13157,"Jackson County, Georgia",23640,85599
177,13185,"Lowndes County, Georgia",41734,54847
