id,no_internet,has_internet
1003,7109,70334
1015,4735,34033
1043,2060,24209
1049,2111,20564
1051,2224,23896
1055,2648,31393
1069,3108,28707
1073,17414,210690
1077,4085,29088
1081,6712,48241
1083,2986,26462
1089,8690,133640
1095,2132,29851
1097,15707,124099
1101,6308,71172
1103,3071,36491
1115,1917,25147
1117,4573,72468
1121,1562,25052
1125,6260,60522
1127,1804,18807
2020,6685,96089
2090,2606,32780
2170,2502,28072
4001,4140,7473
4003,3380,41258
4005,5998,38046
4013,104534,1395680
4015,6534,74068
4017,5593,21455
4019,27074,349766
4021,10948,127421
4025,7505,85128
4027,7814,58738
5007,10359,83823
5031,5495,33592
5045,4618,35011
5051,4132,32978
5069,4716,17450
5085,2024,23600
5119,16829,126826
5125,3880,36929
5131,6054,41106
5143,11217,72919
5145,2517,23085
6001,24817,524223
6007,5794,77293
6013,13453,366559
6017,3661,65471
6019,30081,249785
6023,4025,48275
6025,3174,35466
6029,23346,227927
6031,3715,36458
6033,2932,21104
6037,249199,2845521
6039,2118,38620
6041,3126,98496
6045,1733,28578
6047,3867,69242
6053,9237,109438
6055,1678,43052
6057,2597,36372
6059,46323,954534
6061,7997,130949
6065,46762,640926
6067,27842,490458
6071,58704,546233
6073,48017,1038838
6075,18272,322264
6077,21280,196398
6079,6541,93333
6081,11059,239405
6083,6664,131710
6085,23710,599836
6087,6048,83330
6089,4625,58518
6095,5144,140385
6097,6486,173234
6099,11485,151384
6101,1932,27259
6107,14070,108602
6111,12351,242462
6113,3360,67374
6115,3073,19673
8001,11375,147530
8005,10572,221554
8013,5532,117889
8014,1468,26498
8031,21242,273676
8035,2278,120579
8041,8120,239661
8059,7776,212188
8069,7724,126077
8077,4570,52425
8101,7189,50727
8123,6282,96469
9001,14395,310826
9003,22275,297908
9005,4375,63145
9007,3616,58900
9009,22310,281533
9011,5130,94910
9013,3198,48829
9015,3016,37484
10001,2946,57649
10003,8023,187985
10005,6630,78184
11001,21518,245095
12001,8813,84594
12005,4288,63749
12009,9330,200207
12011,59060,596539
12015,3555,64392
12017,6067,51038
12019,2921,70347
12021,11239,123055
12023,3482,20518
12031,21862,321064
12033,10570,98764
12035,5948,30427
12053,5077,65964
12055,3464,31495
12057,35961,478327
12061,4163,47083
12069,6823,120671
12071,20160,244754
12073,7504,99286
12081,10994,131274
12083,7968,119575
12085,3299,55789
12086,129560,707959
12087,2592,27777
12089,2240,29075
12091,6124,69337
12095,31773,404886
12097,10269,87472
12099,39611,482942
12101,15421,170980
12103,32667,337763
12105,41815,175168
