index,id,county,state,total_pop,households,avg_household_income_dollars,rural_urban,one_or_more,desktop_laptop,only_desktop_laptop,smartphone,only_smartphone,tablet_portable,only_tablet_portable,other,only_other,no_computer,less10k,10k,20k,35k,50k,greater75k,dialup,broadband,internet,no_internet,perc_dialup,perc_broadband,perc_internet,perc_no_internet,high_state_income,low_state_income,state_ratio_income,national_ratio_income
0,1003,Baldwin County,Alabama,218022,83501,80251,,77443,62729,4403,70185,9358,53266,1100,1184,0,6058,4888,5600,15150,10925,16323,30615,433,70634,71067,12434,0.00518556663992048,0.8459060370534485,0.8510916036933689,0.14890839630663105,96481,57354,0.8317803505353386,0.45577219057571405
1,1015,Calhoun County,Alabama,114277,44264,61117,,38768,30768,3054,32921,3865,25422,1164,1225,82,5496,4247,5799,8027,4925,7960,13306,229,34115,34344,9920,0.005173504427977589,0.7707166094343033,0.7758901138622809,0.22410988613771915,96481,57354,0.6334615105564826,0.34710382389522765
2,1043,Cullman County,Alabama,83442,30323,67585,,26269,19117,654,24088,3948,17024,689,447,48,4054,2104,3831,5895,4939,5050,8504,204,24299,24503,5820,0.006727566533654322,0.8013389176532665,0.8080664841869208,0.1919335158130792,96481,57354,0.700500616701734,0.38383775280133126
3,1049,DeKalb County,Alabama,71385,26462,57354,,22675,15879,1440,20442,4172,13094,306,250,0,3787,2714,4073,5914,3130,4147,6484,0,20646,20646,5816,0,0.7802131358173985,0.7802131358173985,0.21978686418260146,96481,57354,0.5944590126553415,0.3257324920347348
4,1051,Elmore County,Alabama,81887,30155,70961,,26120,21528,599,24958,2809,19449,313,717,0,4035,1911,3171,3733,3339,6504,11497,41,24731,24772,5383,0.0013596418504393964,0.8201293317857735,0.8214889736362129,0.1785110263637871,96481,57354,0.7354919621479877,0.40301118260760915
5,1055,Etowah County,Alabama,102501,38625,63046,,34041,23824,1682,30802,6626,18929,403,673,171,4584,2174,4553,8650,5385,5756,12107,0,31585,31585,7040,0,0.8177346278317152,0.8177346278317152,0.18226537216828478,96481,57354,0.6534550844207668,0.3580592581654617
6,1069,Houston County,Alabama,104722,38861,66880,,31815,24932,3843,27072,4870,18327,344,720,22,7046,3495,5058,6093,5306,6623,12286,192,28820,29012,9849,0.00494068603484213,0.7416175600216155,0.7465582460564576,0.25344175394354235,96481,57354,0.6931934785087219,0.3798338227025676
7,1073,Jefferson County,Alabama,659300,255940,78690,,228104,182830,7648,211652,27675,148073,2633,4549,0,27836,21288,26647,37175,30291,44787,95752,163,213570,213733,42207,0.0006368680159412362,0.8344533875126983,0.8350902555286396,0.16490974447136048,96481,57354,0.8156009991604565,0.44690675102369987
8,1077,Lauderdale County,Alabama,92387,38670,69253,,33173,26145,2465,29423,4884,19788,594,946,0,5497,2569,4563,5901,6634,7266,11737,50,29389,29439,9231,0.0012929919834497026,0.7599948280320662,0.7612878200155159,0.2387121799844841,96481,57354,0.7177889947243499,0.3933108810350017
9,1081,Lee County,Alabama,163941,59336,73270,,54953,46742,1720,52100,3724,40170,457,1500,0,4383,8077,6740,9588,6427,7445,21059,237,48396,48633,10703,0.00399420250775246,0.8156262639881353,0.8196204664958878,0.18037953350411218,96481,57354,0.7594241353219805,0.4161247635977442
10,1083,Limestone County,Alabama,96174,32333,76168,,29448,24010,997,26811,2369,22155,321,996,0,2885,1378,3608,4428,3644,5449,13826,42,26466,26508,5825,0.0012989824637367395,0.8185445210775368,0.8198435035412737,0.1801564964587264,96481,57354,0.7894611374260218,0.43258347200372566
11,1089,Madison County,Alabama,366519,152723,85717,,142330,123026,5721,132790,10673,97662,1567,3493,0,10393,9579,13288,19614,18897,27302,64043,136,134415,134551,18172,0.0008905011033046758,0.8801228367698382,0.8810133378731428,0.11898666212685712,96481,57354,0.8884339921849898,0.4868154273414472
12,1095,Marshall County,Alabama,96109,36022,63466,,31983,23158,1282,29609,6274,19446,251,565,0,4039,3193,4249,6548,4456,6863,10713,0,29963,29963,6059,0,0.8317972350230415,0.8317972350230415,0.16820276497695852,96481,57354,0.6578082731314974,0.3604445782242996
13,1097,Mobile County,Alabama,413757,158627,60779,,139806,98921,5796,129208,30024,74175,1777,2040,0,18821,15072,23543,26398,22871,27288,43455,3266,122555,125821,32806,0.020589180908672546,0.7725986118378334,0.793187792746506,0.20681220725349406,96481,57354,0.629958230117847,0.3451842091812105
14,1101,Montgomery County,Alabama,225763,87553,74318,,77480,57320,2629,71689,13054,51892,1114,1901,29,10073,8962,10969,11754,12102,14643,29123,136,71998,72134,15419,0.0015533448311308578,0.8223361849394081,0.823889529770539,0.17611047022946102,96481,57354,0.770286377628756,0.4220767050778921
15,1103,Morgan County,Alabama,119089,45851,70726,,39562,33452,2728,36028,3880,26860,243,1453,0,6289,2613,4970,7678,6343,8116,16131,102,36848,36950,8901,0.002224597064404266,0.8036465944036117,0.805871191468016,0.19412880853198403,96481,57354,0.7330562494169837,0.40167653924135466
16,1115,St. Clair County,Alabama,88690,30765,69677,,27064,22292,2325,23331,1724,19586,358,408,0,3701,1522,2944,5160,3813,6679,10647,170,25580,25750,5015,0.005525759791971396,0.8314643263448724,0.8369900861368438,0.1630099138631562,96481,57354,0.7221836423751827,0.3957189184277333
17,1117,Shelby County,Alabama,215707,80944,96481,,77041,65403,1715,73297,6998,58702,444,3310,0,3903,4084,5817,7716,10575,13433,39319,85,72846,72931,8013,0.0010501087171377742,0.8999555248072741,0.901005633524412,0.09899436647558806,96481,57354,1,0.5479477728493783
18,1121,Talladega County,Alabama,79828,31219,58110,,26614,20191,1601,24141,3832,17586,361,298,0,4605,3915,4955,4793,4177,5534,7845,78,25396,25474,5745,0.0024984784906627376,0.8134789711393703,0.815977449630033,0.184022550369967,96481,57354,0.6022947523346566,0.330026068140643
