total,less_10000_total,less_10000_internet,less_10000_none,_10000_19900_total,_10000_19900_internet,_10000_19900_none,_20000_34999_total,_20000_34999_internet,_20000_34999_none,_35000_49999_total,_35000_49999_internet,_35000_49999_none,_50000_74900_total,_50000_74900_internet,_50000_74900_none,greater_75000_total,greater_75000_internet,greater_75000_none,id,geographic_area_name
52794,1726,942,784,2344,1921,423,5936,3800,2136,6145,4691,1454,7892,6679,1213,28751,26424,2327,15009,"Maui County, Hawaii"
83501,4888,3418,1470,5600,3893,1707,15150,12249,2901,10925,9207,1718,16323,13211,3112,30615,29089,1526,1003,"Baldwin County, Alabama"
44264,4247,2831,1416,5799,3329,2470,8027,5543,2484,4925,3431,1494,7960,7563,397,13306,11647,1659,1015,"Calhoun County, Alabama"
30323,2104,1026,1078,3831,2994,837,5895,4176,1719,4939,4153,786,5050,4470,580,8504,7684,820,1043,"Cullman County, Alabama"
26462,2714,1864,850,4073,1989,2084,5914,3955,1959,3130,2803,327,4147,3891,256,6484,6144,340,1049,"DeKalb County, Alabama"
30155,1911,1166,745,3171,1742,1429,3733,2486,1247,3339,2953,386,6504,5863,641,11497,10562,935,1051,"Elmore County, Alabama"
38625,2174,1410,764,4553,3294,1259,8650,6620,2030,5385,4043,1342,5756,5004,752,12107,11214,893,1055,"Etowah County, Alabama"
38861,3495,1520,1975,5058,2650,2408,6093,3973,2120,5306,4226,1080,6623,5525,1098,12286,11118,1168,1069,"Houston County, Alabama"
255940,21288,13228,8060,26647,16376,10271,37175,26783,10392,30291,26102,4189,44787,40811,3976,95752,90433,5319,1073,"Jefferson County, Alabama"
38670,2569,1595,974,4563,2694,1869,5901,3252,2649,6634,5056,1578,7266,6443,823,11737,10399,1338,1077,"Lauderdale County, Alabama"
59336,8077,4407,3670,6740,5058,1682,9588,7045,2543,6427,5131,1296,7445,6860,585,21059,20132,927,1081,"Lee County, Alabama"
32333,1378,915,463,3608,1458,2150,4428,3409,1019,3644,2889,755,5449,4949,500,13826,12888,938,1083,"Limestone County, Alabama"
152723,9579,6982,2597,13288,8893,4395,19614,15763,3851,18897,16178,2719,27302,25329,1973,64043,61406,2637,1089,"Madison County, Alabama"
36022,3193,1725,1468,4249,2819,1430,6548,5370,1178,4456,3914,542,6863,6201,662,10713,9934,779,1095,"Marshall County, Alabama"
158627,15072,9319,5753,23543,12932,10611,26398,20026,6372,22871,18246,4625,27288,24139,3149,43455,41159,2296,1097,"Mobile County, Alabama"
87553,8962,4346,4616,10969,6848,4121,11754,9401,2353,12102,10386,1716,14643,13585,1058,29123,27568,1555,1101,"Montgomery County, Alabama"
45851,2613,1605,1008,4970,3120,1850,7678,5609,2069,6343,4661,1682,8116,6767,1349,16131,15188,943,1103,"Morgan County, Alabama"
26878,2545,1413,1132,3153,1601,1552,4862,3501,1361,3523,2680,843,4922,4438,484,7873,7473,400,54033,"Harrison County, West Virginia"
78482,5726,4398,1328,11029,5790,5239,16432,12097,4335,12462,10791,1671,12701,11074,1627,20132,19343,789,54039,"Kanawha County, West Virginia"
40603,4624,3452,1172,3921,2833,1088,5806,5001,805,5612,5135,477,6702,6242,460,13938,13828,110,54061,"Monongalia County, West Virginia"
31169,3566,2289,1277,5799,2909,2890,4836,3295,1541,4085,3203,882,4891,4315,576,7992,7358,634,54081,"Raleigh County, West Virginia"
36064,2572,1350,1222,5251,3336,1915,7076,4919,2157,5327,4795,532,5422,4731,691,10416,9729,687,54107,"Wood County, West Virginia"
104470,4092,2885,1207,8295,5502,2793,15171,11642,3529,13183,10674,2509,21815,19118,2697,41914,40288,1626,55009,"Brown County, Wisconsin"
226350,10297,7819,2478,10657,7794,2863,25746,20287,5459,29625,25005,4620,42221,38655,3566,107804,103690,4114,55025,"Dane County, Wisconsin"
35221,1558,887,671,2750,1433,1317,4802,3907,895,5258,4444,814,6273,5571,702,14580,14010,570,55027,"Dodge County, Wisconsin"
40421,2491,1654,837,2935,2288,647,6031,4870,1161,4680,4176,504,8760,8216,544,15524,14822,702,55035,"Eau Claire County, Wisconsin"
41009,2064,1320,744,3710,2376,1334,5868,3905,1963,5834,4918,916,8956,7542,1414,14577,13857,720,55039,"Fond du Lac County, Wisconsin"
33180,1087,706,381,2234,1779,455,4739,2898,1841,4058,3333,725,7140,6537,603,13922,13286,636,55055,"Jefferson County, Wisconsin"
62950,2838,1871,967,4951,3735,1216,8661,6678,1983,8419,7318,1101,11188,10139,1049,26893,25826,1067,55059,"Kenosha County, Wisconsin"
80944,4084,3435,649,5817,2898,2919,7716,5909,1807,10575,9427,1148,13433,12606,827,39319,38656,663,1117,"Shelby County, Alabama"
31219,3915,2754,1161,4955,2856,2099,4793,4073,720,4177,3606,571,5534,4793,741,7845,7392,453,1121,"Talladega County, Alabama"
74053,7715,5168,2547,6416,4110,2306,11201,8609,2592,8886,7017,1869,13036,10798,2238,26799,25285,1514,1125,"Tuscaloosa County, Alabama"
24870,2261,1201,1060,3536,2254,1282,3936,2679,1257,3218,2209,1009,3885,3330,555,8034,7642,392,1127,"Walker County, Alabama"
105285,3318,1979,1339,5562,4274,1288,7853,6964,889,10470,8835,1635,20686,18782,1904,57396,55882,1514,2020,"Anchorage Municipality, Alaska"
36378,1281,1199,82,1812,917,895,3608,3206,402,4104,3384,720,7235,6816,419,18338,17258,1080,2090,"Fairbanks North Star Borough, Alaska"
32198,2320,1635,685,2529,1492,1037,3417,2775,642,3080,2626,454,5103,4664,439,15749,15062,687,2170,"Matanuska-Susitna Borough, Alaska"
21936,5526,871,4655,2848,647,2201,3498,657,2841,3333,1360,1973,3277,2036,1241,3454,2178,1276,4001,"Apache County, Arizona"
49751,3826,1916,1910,6172,4042,2130,7575,5707,1868,6906,5607,1299,9787,9231,556,15485,15113,372,4003,"Cochise County, Arizona"
47275,3207,1594,1613,3901,2964,937,5630,4263,1367,5715,4174,1541,10646,8362,2284,18176,17047,1129,4005,"Coconino County, Arizona"
1582464,77401,54760,22641,106658,74968,31690,209191,166066,43125,201569,176710,24859,294025,268400,25625,693620,666888,26732,4013,"Maricopa County, Arizona"
29931,3087,1441,1646,4724,2370,2354,5336,3985,1351,4923,3189,1734,5237,4231,1006,6624,5948,676,23003,"Aroostook County, Maine"
