total,less_10000_total,less_10000_dialup,less_10000_broadband,less_10000_none,_10000_19900_total,_10000_19900_dialup,_10000_19900_broadband,_10000_19900_none,_20000_34999_total,_20000_34999_dialup,_20000_34999_broadband,_20000_34999_none,_35000_49999_total,_35000_49999_dialup,_35000_49999_broadband,_35000_49999_none,_50000_74900_total,_50000_74900_dialup,_50000_74900_broadband,_50000_74900_none,greater_75000_total,greater_75000_dialup,greater_75000_broadband,greater_75000_none,id,geographic_area_name
83501,4888,162,3256,1470,5600,0,3893,1707,15150,133,12116,2901,10925,0,9207,1718,16323,138,13073,3112,30615,0,29089,1526,1003,"Baldwin County, Alabama"
44264,4247,0,2831,1416,5799,66,3263,2470,8027,85,5458,2484,4925,0,3431,1494,7960,50,7513,397,13306,28,11619,1659,1015,"Calhoun County, Alabama"
30323,2104,0,1026,1078,3831,0,2994,837,5895,144,4032,1719,4939,60,4093,786,5050,0,4470,580,8504,0,7684,820,1043,"Cullman County, Alabama"
26462,2714,0,1864,850,4073,0,1989,2084,5914,0,3955,1959,3130,0,2803,327,4147,0,3891,256,6484,0,6144,340,1049,"DeKalb County, Alabama"
30155,1911,0,1166,745,3171,0,1742,1429,3733,0,2486,1247,3339,0,2953,386,6504,41,5822,641,11497,0,10562,935,1051,"Elmore County, Alabama"
38625,2174,0,1410,764,4553,0,3294,1259,8650,0,6620,2030,5385,0,4043,1342,5756,0,5004,752,12107,0,11214,893,1055,"Etowah County, Alabama"
38861,3495,48,1472,1975,5058,0,2650,2408,6093,12,3961,2120,5306,109,4117,1080,6623,0,5525,1098,12286,23,11095,1168,1069,"Houston County, Alabama"
255940,21288,0,13228,8060,26647,0,16376,10271,37175,122,26661,10392,30291,0,26102,4189,44787,0,40811,3976,95752,41,90392,5319,1073,"Jefferson County, Alabama"
38670,2569,0,1595,974,4563,0,2694,1869,5901,0,3252,2649,6634,50,5006,1578,7266,0,6443,823,11737,0,10399,1338,1077,"Lauderdale County, Alabama"
59336,8077,0,4407,3670,6740,0,5058,1682,9588,77,6968,2543,6427,0,5131,1296,7445,160,6700,585,21059,0,20132,927,1081,"Lee County, Alabama"
32333,1378,0,915,463,3608,0,1458,2150,4428,0,3409,1019,3644,42,2847,755,5449,0,4949,500,13826,0,12888,938,1083,"Limestone County, Alabama"
152723,9579,0,6982,2597,13288,0,8893,4395,19614,42,15721,3851,18897,0,16178,2719,27302,94,25235,1973,64043,0,61406,2637,1089,"Madison County, Alabama"
36022,3193,0,1725,1468,4249,0,2819,1430,6548,0,5370,1178,4456,0,3914,542,6863,0,6201,662,10713,0,9934,779,1095,"Marshall County, Alabama"
158627,15072,193,9126,5753,23543,539,12393,10611,26398,283,19743,6372,22871,176,18070,4625,27288,534,23605,3149,43455,1541,39618,2296,1097,"Mobile County, Alabama"
87553,8962,48,4298,4616,10969,0,6848,4121,11754,0,9401,2353,12102,0,10386,1716,14643,0,13585,1058,29123,88,27480,1555,1101,"Montgomery County, Alabama"
45851,2613,34,1571,1008,4970,0,3120,1850,7678,0,5609,2069,6343,68,4593,1682,8116,0,6767,1349,16131,0,15188,943,1103,"Morgan County, Alabama"
30765,1522,79,506,937,2944,0,1694,1250,5160,0,3436,1724,3813,91,3412,310,6679,0,6032,647,10647,0,10500,147,1115,"St. Clair County, Alabama"
80944,4084,0,3435,649,5817,42,2856,2919,7716,0,5909,1807,10575,27,9400,1148,13433,16,12590,827,39319,0,38656,663,1117,"Shelby County, Alabama"
31219,3915,0,2754,1161,4955,0,2856,2099,4793,31,4042,720,4177,0,3606,571,5534,47,4746,741,7845,0,7392,453,1121,"Talladega County, Alabama"
74053,7715,51,5117,2547,6416,0,4110,2306,11201,95,8514,2592,8886,0,7017,1869,13036,0,10798,2238,26799,186,25099,1514,1125,"Tuscaloosa County, Alabama"
24870,2261,0,1201,1060,3536,0,2254,1282,3936,83,2596,1257,3218,8,2201,1009,3885,0,3330,555,8034,0,7642,392,1127,"Walker County, Alabama"
105285,3318,0,1979,1339,5562,0,4274,1288,7853,67,6897,889,10470,0,8835,1635,20686,0,18782,1904,57396,37,55845,1514,2020,"Anchorage Municipality, Alaska"
36378,1281,321,878,82,1812,0,917,895,3608,0,3206,402,4104,0,3384,720,7235,48,6768,419,18338,94,17164,1080,2090,"Fairbanks North Star Borough, Alaska"
32198,2320,16,1619,685,2529,36,1456,1037,3417,44,2731,642,3080,0,2626,454,5103,0,4664,439,15749,17,15045,687,2170,"Matanuska-Susitna Borough, Alaska"
21936,5526,0,871,4655,2848,0,647,2201,3498,0,657,2841,3333,0,1360,1973,3277,0,2036,1241,3454,13,2165,1276,4001,"Apache County, Arizona"
49751,3826,0,1916,1910,6172,32,4010,2130,7575,22,5685,1868,6906,0,5607,1299,9787,258,8973,556,15485,28,15085,372,4003,"Cochise County, Arizona"
47275,3207,0,1594,1613,3901,54,2910,937,5630,0,4263,1367,5715,0,4174,1541,10646,12,8350,2284,18176,68,16979,1129,4005,"Coconino County, Arizona"
1582464,77401,257,54503,22641,106658,885,74083,31690,209191,816,165250,43125,201569,923,175787,24859,294025,662,267738,25625,693620,1109,665779,26732,4013,"Maricopa County, Arizona"
90270,7472,128,5159,2185,10613,58,6914,3641,17062,0,13790,3272,13932,40,11831,2061,19240,0,16451,2789,21951,39,20630,1282,4015,"Mohave County, Arizona"
34285,4685,0,1581,3104,4272,0,2210,2062,5877,74,3466,2337,5481,0,3469,2012,6101,0,4659,1442,7869,41,6532,1296,4017,"Navajo County, Arizona"
402323,28808,44,18545,10219,38939,319,27352,11268,59376,269,47192,11915,61243,347,53400,7496,77015,262,71515,5238,136942,361,131682,4899,4019,"Pima County, Arizona"
147936,8490,0,5443,3047,9129,17,6049,3063,22792,138,17218,5436,19614,56,16910,2648,34474,115,30904,3455,53437,31,51756,1650,4021,"Pinal County, Arizona"
100836,5256,0,3886,1370,12819,0,7909,4910,18130,53,14305,3772,15904,351,13226,2327,19982,23,18150,1809,28745,12,27366,1367,4025,"Yavapai County, Arizona"
74532,6122,0,3725,2397,8025,0,4993,3032,16093,90,11448,4555,10489,0,9018,1471,13346,268,11503,1575,20457,88,18657,1712,4027,"Yuma County, Arizona"
100128,2705,0,1806,899,6618,0,3578,3040,12504,89,8526,3889,13302,0,10719,2583,18973,0,15516,3457,46026,0,43981,2045,5007,"Benton County, Arkansas"
42631,3789,0,2152,1637,4772,0,2823,1949,8113,0,5988,2125,6318,0,4753,1565,7706,0,7203,503,11933,0,11089,844,5031,"Craighead County, Arkansas"
43701,3837,0,2039,1798,4263,0,3083,1180,7483,0,5041,2442,5849,0,4394,1455,6899,53,6327,519,15370,0,14394,976,5045,"Faulkner County, Arkansas"
40407,3797,0,2703,1094,3888,0,2470,1418,8103,0,5660,2443,5937,34,5587,316,7930,0,6573,1357,10752,0,10081,671,5051,"Garland County, Arkansas"
25689,2810,0,1587,1223,3284,102,1845,1337,6551,61,3856,2634,3003,0,2145,858,3984,0,2847,1137,6057,0,5127,930,5069,"Jefferson County, Arkansas"
28132,1106,0,507,599,3340,0,2228,1112,4647,0,3405,1242,4331,0,3995,336,5279,19,4518,742,9429,0,9094,335,5085,"Lonoke County, Arkansas"
157678,12603,204,6342,6057,16353,0,9549,6804,25511,149,18751,6611,25120,0,20664,4456,23880,0,21572,2308,54211,97,50546,3568,5119,"Pulaski County, Arkansas"
43496,2622,0,1401,1221,2739,0,983,1756,5264,86,4387,791,6638,94,5918,626,8318,55,7453,810,17915,0,16779,1136,5125,"Saline County, Arkansas"
51739,3099,0,2218,881,6199,0,4132,2067,10678,166,7304,3208,7960,0,6264,1696,8680,0,7732,948,15123,0,13811,1312,5131,"Sebastian County, Arkansas"
90001,7283,0,4443,2840,9237,9,6704,2524,13718,242,9013,4463,14326,199,12020,2107,17112,90,14305,2717,28325,92,26428,1805,5143,"Washington County, Arkansas"
29577,2667,0,1291,1376,3942,0,2161,1781,5647,0,3760,1887,4385,0,3601,784,5324,0,4914,410,7612,0,7472,140,5145,"White County, Arkansas"
575410,24297,67,16972,7258,30240,89,20674,9477,45760,51,36181,9528,43093,281,35916,6896,75744,137,68909,6698,356276,211,347365,8700,6001,"Alameda County, California"
88636,5928,0,4683,1245,11394,0,7479,3915,14458,46,12277,2135,11353,0,9840,1513,14598,0,13493,1105,30905,0,29650,1255,6007,"Butte County, California"
396133,12542,44,9760,2738,19757,75,13632,6050,30216,83,24945,5188,33193,0,29680,3513,49744,143,45528,4073,250681,127,243722,6832,6013,"Contra Costa County, California"
72774,3406,0,2790,616,4105,0,2715,1390,7712,0,6156,1556,6092,114,5301,677,10848,0,9685,1163,40611,32,38823,1756,6017,"El Dorado County, California"
309519,20872,0,13235,7637,33401,31,18970,14400,51728,0,38449,13279,41520,109,33618,7793,53981,78,47444,6459,108017,105,99949,7963,6019,"Fresno County, California"
55773,3235,0,2682,553,7659,11,5198,2450,9676,0,8548,1128,7100,69,5659,1372,11658,0,10997,661,16445,5,15488,952,6023,"Humboldt County, California"
41764,3998,0,3210,788,5885,0,3760,2125,5662,0,4636,1026,5571,49,5122,400,7105,0,6426,679,13543,0,12786,757,6025,"Imperial County, California"
273167,21121,84,13130,7907,30161,118,19563,10480,44237,66,33766,10405,36733,179,31036,5518,47482,24,43258,4200,93433,0,89387,4046,6029,"Kern County, California"
43727,2901,0,1901,1000,3084,0,1636,1448,5349,0,4365,984,5671,0,4782,889,10238,0,8730,1508,16484,0,15356,1128,6031,"Kings County, California"
26774,1584,0,1258,326,3144,0,2409,735,4749,0,3190,1559,4198,0,3236,962,5264,0,3908,1356,7835,0,7214,621,6033,"Lake County, California"
3313908,198451,661,129721,68069,282223,814,174851,106558,399656,1038,307834,90784,370725,541,314607,55577,537381,1283,482149,53949,1525472,1596,1452697,71179,6037,"Los Angeles County, California"
44484,2315,35,1302,978,4478,0,3420,1058,5595,0,4632,963,7284,0,6662,622,9685,0,8459,1226,15127,38,14400,689,6039,"Madera County, California"
