id,dialup,broadband,no_internet,i_under_050,i_050_074,i_075_099,i_100_124,i_125_149,i_150_174,i_175_184,i_185_199,i_200_299,i_300_399,i_400_499,i_500_over
1003,305,70029,7109,1535,1088,936,1791,2625,2586,1124,1139,9483,8228,6709,18110
1015,229,33804,4735,1124,1424,2222,1708,1919,1026,504,513,4473,5079,2854,7264
1043,204,24005,2060,1183,765,717,516,1222,833,1096,902,5114,2609,1663,4967
1049,0,20564,2111,1027,1081,1385,944,989,859,832,480,3454,2796,1718,3583
1051,41,23855,2224,988,279,135,631,450,1406,322,300,4272,4482,3229,5609
1055,0,31393,2648,1337,1138,1229,1520,1154,1226,763,482,4748,4136,2402,6184
1069,192,28515,3108,1193,938,808,1162,1054,1084,382,684,4231,3307,3327,6832
1073,163,210527,17414,7194,4648,5930,5152,5222,6789,3070,2404,23520,23556,16289,55341
1077,50,29038,4085,1176,931,794,1100,771,1099,240,998,5066,4321,3709,6935
1081,237,48004,6712,2114,809,1515,1295,1649,1049,1460,1357,4179,5494,4480,11913
1083,42,26420,2986,562,812,744,358,1025,993,38,469,2941,3810,3633,7621
1089,94,133546,8690,2813,2613,2761,3397,3001,2830,1259,1247,14654,12556,11969,38442
1095,0,29851,2132,1900,772,908,851,1282,1009,737,352,3858,3816,3636,4990
1097,3176,120923,15707,6126,5334,3690,5401,5212,3794,1944,1703,19452,13686,11560,22251
1101,136,71036,6308,4326,1852,2645,2659,1724,2393,546,668,8936,8965,4050,15485
1103,34,36457,3071,1251,628,1345,2026,905,1318,1127,1029,4885,4654,4064,9395
1115,170,24977,1917,673,350,995,760,783,857,400,523,4494,4011,3332,5194
1117,85,72383,4573,1269,603,1063,600,1888,947,976,706,6794,9331,7279,23885
1121,78,24974,1562,1925,986,786,1081,878,1822,329,314,3519,3942,1684,4435
1125,332,60190,6260,2380,1232,1441,1747,1457,2528,850,628,8522,7482,6057,13682
1127,91,18716,1804,610,301,669,941,1036,1022,164,221,2950,2364,2465,3986
2020,37,96052,6685,1008,1653,1818,1332,813,1639,1989,787,9453,8534,8190,32451
2090,463,32317,2606,571,49,778,563,1125,580,172,350,3425,3779,3425,9370
2170,97,27975,2502,885,270,461,665,612,953,213,371,3266,2917,3299,8735
4001,13,7460,4140,2195,1105,794,900,864,553,242,476,2334,1522,1554,1388
4003,82,41176,3380,900,1273,896,1742,1529,1758,419,1078,5362,3610,4697,7841
4005,134,37912,5998,937,815,554,1172,1120,1516,168,624,5286,3814,3664,10157
4013,4530,1391150,104534,36010,25810,28888,34551,36920,39571,19155,25645,165168,147287,118683,365591
4015,207,73861,6534,2861,2053,1441,2621,2454,2802,1161,2064,10754,9939,7438,10957
4017,115,21340,5593,2831,1209,1332,1523,1337,1106,440,615,3318,3565,2303,3347
4019,1417,348349,27074,10986,6159,10121,10505,8156,12350,4728,6254,39785,34192,27930,74886
4021,357,127064,10948,4288,1977,3414,4002,5626,3304,2253,3267,23041,19524,14805,24140
4025,439,84689,7505,1774,1189,1972,2511,2387,2569,1114,1951,12065,9501,6823,16284
4027,446,58292,7814,4725,2050,2603,5040,4577,2548,1952,2002,9636,8118,5814,8499
5007,89,83734,10359,1215,1096,2105,2694,3404,2153,1248,1699,11854,10610,7983,26283
5031,0,33592,5495,1170,1436,1165,1937,1091,1779,384,519,3879,5006,2793,5589
5045,53,34958,4618,831,1078,1046,802,1336,1330,216,915,4211,3070,3678,8844
5051,34,32944,4132,1839,1030,2000,1309,426,1601,351,585,4413,3317,3327,6945
5069,163,17287,4716,989,311,1474,794,1056,286,142,781,2451,1929,1615,3036
5085,19,23581,2024,583,906,202,828,642,1467,750,556,3095,2831,2809,5488
5119,301,126525,16829,5357,3353,3847,5125,4542,4540,1508,2685,13956,11532,8193,33050
5125,191,36738,3880,563,782,1298,458,889,1042,410,1299,5394,4341,4920,11256
5131,95,41011,6054,1809,687,1328,1816,2556,2352,815,851,6917,4840,3421,7111
5143,390,72529,11217,1912,2825,2090,1869,2948,2879,1075,1840,11544,8299,4924,15966
5145,0,23085,2517,1149,631,970,1366,696,794,321,402,4257,3755,1854,4538
6001,836,523387,24817,9360,4119,6034,6994,8757,8547,4911,5416,37926,39338,34316,215602
6007,46,77247,5794,2386,1372,1868,2825,1996,2536,862,862,7986,7344,5672,15758
6013,472,366087,13453,7018,4462,4101,5056,8785,6423,2816,4843,28491,29491,28879,155053
6017,146,65325,3661,973,686,756,770,1334,825,715,398,5314,6461,6134,25509
6019,323,249462,30081,13899,10711,13404,12457,12799,11105,4467,6148,35305,26772,20356,53401
6023,85,48190,4025,1050,1296,1067,1508,1182,771,449,937,5335,4173,2768,9045
6025,49,35417,3174,2174,2060,1849,1937,1884,903,668,1365,5952,3675,3805,4520
6029,445,227482,23346,12730,11344,10019,11788,10853,9120,6542,6994,37539,22184,16607,46174
6031,0,36458,3715,2132,1194,1942,1419,1749,1155,1200,1061,6185,4606,2270,8861
6033,0,21104,2932,662,1025,164,41,1223,970,664,453,2763,1760,795,5515
6037,5738,2839783,249199,89212,62095,79211,105628,103375,91966,43388,51810,336944,278729,213374,737617
6039,73,38547,2118,2078,2248,1690,1554,1861,1449,763,613,6055,6072,2307,7144
6041,256,98240,3126,1327,495,466,657,473,613,165,291,4485,3946,4097,50582
6045,203,28375,1733,904,588,1704,482,486,1216,577,294,3530,3388,2318,5946
6047,0,69242,3867,4251,1240,3849,3031,3277,2508,1006,1374,12293,8000,3762,13386
6053,147,109291,9237,2381,3011,4412,3415,3218,4528,1271,2174,17246,13081,9124,29088
6055,105,42947,1678,539,652,1005,869,553,1590,754,736,3792,3607,2783,16184
6057,183,36189,2597,531,470,317,777,829,589,570,275,3503,3061,2443,12414
6059,1581,952953,46323,24678,12936,15811,22257,21348,25084,8091,12250,85736,80213,72934,353848
6061,247,130702,7997,2691,1334,1683,1398,1516,3115,1227,1786,11134,11686,10144,52254
6065,1423,639503,46762,18653,11914,18825,22513,18335,20858,11923,13664,86342,77732,56906,166529
6067,1204,489254,27842,15718,8963,11671,13330,14394,14806,5558,6941,47727,46751,40331,133076
6071,1148,545085,58704,24225,14526,18439,23374,23747,21303,10895,12172,84791,68740,51286,133416
6073,1811,1037027,48017,24704,13425,19188,26797,25002,27839,11073,14605,101841,91966,77212,327595
6075,722,321542,18272,4141,2229,2744,5943,4154,3619,1471,2413,16912,14857,12896,107264
6077,1015,195383,21280,7737,5008,7693,9694,7645,6815,3858,4790,30183,22974,20110,47985
6079,412,92921,6541,2502,1048,1304,1344,1205,2431,826,1618,9340,7515,7197,30954
6081,820,238585,11059,3063,1927,3048,3103,3859,2783,1592,1928,12599,15216,16158,116922
6083,398,131312,6664,2362,2240,2429,4502,3702,4075,2311,2281,15183,10510,10397,40505
6085,936,598900,23710,7504,5409,5849,10551,8826,7249,3744,5397,40137,38828,37229,291076
6087,124,83206,6048,1740,799,1886,985,1715,2761,1032,1491,5406,6810,4191,33581
6089,290,58228,4625,2057,925,1400,1814,1381,1597,1303,1001,8557,6941,4417,14589
6095,70,140315,5144,2714,1350,1740,3074,3289,1634,1910,2327,16509,13603,12176,48261
