index,total_pop,id,Geographic Area Name
0,218022,1003,"Baldwin County, Alabama"
1,114277,1015,"Calhoun County, Alabama"
2,83442,1043,"Cullman County, Alabama"
3,71385,1049,"DeKalb County, Alabama"
4,81887,1051,"Elmore County, Alabama"
5,102501,1055,"Etowah County, Alabama"
6,104722,1069,"Houston County, Alabama"
7,659300,1073,"Jefferson County, Alabama"
8,92387,1077,"Lauderdale County, Alabama"
9,163941,1081,"Lee County, Alabama"
10,96174,1083,"Limestone County, Alabama"
11,366519,1089,"Madison County, Alabama"
12,96109,1095,"Marshall County, Alabama"
13,413757,1097,"Mobile County, Alabama"
14,225763,1101,"Montgomery County, Alabama"
15,119089,1103,"Morgan County, Alabama"
16,88690,1115,"St. Clair County, Alabama"
17,215707,1117,"Shelby County, Alabama"
18,79828,1121,"Talladega County, Alabama"
19,208911,1125,"Tuscaloosa County, Alabama"
20,63711,1127,"Walker County, Alabama"
21,291538,2020,"Anchorage Municipality, Alaska"
22,98971,2090,"Fairbanks North Star Borough, Alaska"
23,107610,2170,"Matanuska-Susitna Borough, Alaska"
24,71818,4001,"Apache County, Arizona"
25,126770,4003,"Cochise County, Arizona"
26,142854,4005,"Coconino County, Arizona"
27,4410824,4013,"Maricopa County, Arizona"
28,209550,4015,"Mohave County, Arizona"
29,110445,4017,"Navajo County, Arizona"
30,1039073,4019,"Pima County, Arizona"
31,447138,4021,"Pinal County, Arizona"
32,231993,4025,"Yavapai County, Arizona"
33,212128,4027,"Yuma County, Arizona"
34,272608,5007,"Benton County, Arkansas"
35,108558,5031,"Craighead County, Arkansas"
36,124806,5045,"Faulkner County, Arkansas"
37,99154,5051,"Garland County, Arkansas"
38,68114,5069,"Jefferson County, Arkansas"
39,73657,5085,"Lonoke County, Arkansas"
40,392680,5119,"Pulaski County, Arkansas"
41,121421,5125,"Saline County, Arkansas"
42,127753,5131,"Sebastian County, Arkansas"
43,236961,5143,"Washington County, Arkansas"
44,78727,5145,"White County, Arkansas"
45,1666753,6001,"Alameda County, California"
46,231256,6007,"Butte County, California"
47,1150215,6013,"Contra Costa County, California"
48,190678,6017,"El Dorado County, California"
49,994400,6019,"Fresno County, California"
50,136373,6023,"Humboldt County, California"
51,181827,6025,"Imperial County, California"
52,896764,6029,"Kern County, California"
53,151366,6031,"Kings County, California"
54,64382,6033,"Lake County, California"
55,10105518,6037,"Los Angeles County, California"
56,157672,6039,"Madera County, California"
57,259666,6041,"Marin County, California"
58,87606,6045,"Mendocino County, California"
59,274765,6047,"Merced County, California"
60,435594,6053,"Monterey County, California"
61,139417,6055,"Napa County, California"
62,99696,6057,"Nevada County, California"
63,3185968,6059,"Orange County, California"
64,393149,6061,"Placer County, California"
65,2450758,6065,"Riverside County, California"
66,1540975,6067,"Sacramento County, California"
67,2171603,6071,"San Bernardino County, California"
68,3343364,6073,"San Diego County, California"
69,883305,6075,"San Francisco County, California"
70,752660,6077,"San Joaquin County, California"
71,284010,6079,"San Luis Obispo County, California"
72,769545,6081,"San Mateo County, California"
73,446527,6083,"Santa Barbara County, California"
74,1937570,6085,"Santa Clara County, California"
75,274255,6087,"Santa Cruz County, California"
76,180040,6089,"Shasta County, California"
77,446610,6095,"Solano County, California"
78,499942,6097,"Sonoma County, California"
79,549815,6099,"Stanislaus County, California"
80,96807,6101,"Sutter County, California"
81,465861,6107,"Tulare County, California"
82,850967,6111,"Ventura County, California"
83,220408,6113,"Yolo County, California"
84,78041,6115,"Yuba County, California"
85,511868,8001,"Adams County, Colorado"
86,651215,8005,"Arapahoe County, Colorado"
87,326078,8013,"Boulder County, Colorado"
88,69267,8014,"Broomfield County, Colorado"
89,716492,8031,"Denver County, Colorado"
90,342776,8035,"Douglas County, Colorado"
91,713856,8041,"El Paso County, Colorado"
92,580233,8059,"Jefferson County, Colorado"
93,350518,8069,"Larimer County, Colorado"
94,153207,8077,"Mesa County, Colorado"
95,167529,8101,"Pueblo County, Colorado"
96,314305,8123,"Weld County, Colorado"
97,943823,9001,"Fairfield County, Connecticut"
98,892697,9003,"Hartford County, Connecticut"
99,181111,9005,"Litchfield County, Connecticut"
100,162682,9007,"Middlesex County, Connecticut"
101,857620,9009,"New Haven County, Connecticut"
102,266784,9011,"New London County, Connecticut"
103,150921,9013,"Tolland County, Connecticut"
104,117027,9015,"Windham County, Connecticut"
105,178550,10001,"Kent County, Delaware"
106,559335,10003,"New Castle County, Delaware"
107,229286,10005,"Sussex County, Delaware"
108,702455,11001,"District of Columbia, District of Columbia"
109,269956,12001,"Alachua County, Florida"
110,185287,12005,"Bay County, Florida"
111,596849,12009,"Brevard County, Florida"
112,1951260,12011,"Broward County, Florida"
113,184998,12015,"Charlotte County, Florida"
114,147929,12017,"Citrus County, Florida"
115,216072,12019,"Clay County, Florida"
116,378488,12021,"Collier County, Florida"
117,70503,12023,"Columbia County, Florida"
118,950181,12031,"Duval County, Florida"
119,315534,12033,"Escambia County, Florida"
120,112067,12035,"Flagler County, Florida"
121,190865,12053,"Hernando County, Florida"
122,105424,12055,"Highlands County, Florida"
123,1436888,12057,"Hillsborough County, Florida"
124,157413,12061,"Indian River County, Florida"
125,356495,12069,"Lake County, Florida"
126,754610,12071,"Lee County, Florida"
127,292502,12073,"Leon County, Florida"
128,394855,12081,"Manatee County, Florida"
129,359977,12083,"Marion County, Florida"
130,160912,12085,"Martin County, Florida"
131,2761581,12086,"Miami-Dade County, Florida"
132,75027,12087,"Monroe County, Florida"
133,85832,12089,"Nassau County, Florida"
134,207269,12091,"Okaloosa County, Florida"
135,1380645,12095,"Orange County, Florida"
136,367990,12097,"Osceola County, Florida"
137,1485941,12099,"Palm Beach County, Florida"
138,539630,12101,"Pasco County, Florida"
139,975280,12103,"Pinellas County, Florida"
140,708009,12105,"Polk County, Florida"
141,74163,12107,"Putnam County, Florida"
142,254261,12109,"St. Johns County, Florida"
143,321128,12111,"St. Lucie County, Florida"
144,179349,12113,"Santa Rosa County, Florida"
145,426718,12115,"Sarasota County, Florida"
146,467832,12117,"Seminole County, Florida"
147,128754,12119,"Sumter County, Florida"
148,547538,12127,"Volusia County, Florida"
149,71375,12131,"Walton County, Florida"
150,80809,13013,"Barrow County, Georgia"
151,106408,13015,"Bartow County, Georgia"
152,153095,13021,"Bibb County, Georgia"
153,77296,13031,"Bulloch County, Georgia"
154,118121,13045,"Carroll County, Georgia"
155,67420,13047,"Catoosa County, Georgia"
156,289195,13051,"Chatham County, Georgia"
157,254149,13057,"Cherokee County, Georgia"
158,127330,13059,"Clarke County, Georgia"
159,289615,13063,"Clayton County, Georgia"
160,756865,13067,"Cobb County, Georgia"
161,154291,13073,"Columbia County, Georgia"
162,145864,13077,"Coweta County, Georgia"
163,756558,13089,"DeKalb County, Georgia"
164,91243,13095,"Dougherty County, Georgia"
165,145331,13097,"Douglas County, Georgia"
166,113459,13113,"Fayette County, Georgia"
167,97927,13115,"Floyd County, Georgia"
168,236612,13117,"Forsyth County, Georgia"
169,1050114,13121,"Fulton County, Georgia"
170,85219,13127,"Glynn County, Georgia"
171,927781,13135,"Gwinnett County, Georgia"
172,202148,13139,"Hall County, Georgia"
173,230220,13151,"Henry County, Georgia"
174,155469,13153,"Houston County, Georgia"
175,70422,13157,"Jackson County, Georgia"
176,116321,13185,"Lowndes County, Georgia"
177,194160,13215,"Muscogee County, Georgia"
178,109541,13217,"Newton County, Georgia"
179,164044,13223,"Paulding County, Georgia"
180,201554,13245,"Richmond County, Georgia"
181,90594,13247,"Rockdale County, Georgia"
182,66100,13255,"Spalding County, Georgia"
183,70034,13285,"Troup County, Georgia"
184,69410,13295,"Walker County, Georgia"
185,93503,13297,"Walton County, Georgia"
186,104062,13313,"Whitfield County, Georgia"
187,200983,15001,"Hawaii County, Hawaii"
188,980080,15003,"Honolulu County, Hawaii"
189,72133,15007,"Kauai County, Hawaii"
190,167218,15009,"Maui County, Hawaii"
191,469966,16001,"Ada County, Idaho"
192,87138,16005,"Bannock County, Idaho"
193,116854,16019,"Bonneville County, Idaho"
194,223499,16027,"Canyon County, Idaho"
195,161505,16055,"Kootenai County, Idaho"
196,86081,16083,"Twin Falls County, Idaho"
197,65691,17001,"Adams County, Illinois"
198,209983,17019,"Champaign County, Illinois"
199,5180493,17031,"Cook County, Illinois"
200,104143,17037,"DeKalb County, Illinois"
201,928589,17043,"DuPage County, Illinois"
202,534216,17089,"Kane County, Illinois"
203,110024,17091,"Kankakee County, Illinois"
204,127915,17093,"Kendall County, Illinois"
205,700832,17097,"Lake County, Illinois"
206,109430,17099,"LaSalle County, Illinois"
207,308570,17111,"McHenry County, Illinois"
208,172828,17113,"McLean County, Illinois"
209,104712,17115,"Macon County, Illinois"
210,264461,17119,"Madison County, Illinois"
211,180621,17143,"Peoria County, Illinois"
212,143477,17161,"Rock Island County, Illinois"
213,261059,17163,"St. Clair County, Illinois"
214,195348,17167,"Sangamon County, Illinois"
215,132328,17179,"Tazewell County, Illinois"
216,76806,17183,"Vermilion County, Illinois"
217,692310,17197,"Will County, Illinois"
218,67056,17199,"Williamson County, Illinois"
219,284081,17201,"Winnebago County, Illinois"
220,375351,18003,"Allen County, Indiana"
221,82753,18005,"Bartholomew County, Indiana"
222,66999,18011,"Boone County, Indiana"
223,117360,18019,"Clark County, Indiana"
224,114772,18035,"Delaware County, Indiana"
225,205560,18039,"Elkhart County, Indiana"
226,77781,18043,"Floyd County, Indiana"
227,65936,18053,"Grant County, Indiana"
228,330086,18057,"Hamilton County, Indiana"
229,76351,18059,"Hancock County, Indiana"
230,167009,18063,"Hendricks County, Indiana"
231,82366,18067,"Howard County, Indiana"
232,156225,18081,"Johnson County, Indiana"
233,79344,18085,"Kosciusko County, Indiana"
234,484411,18089,"Lake County, Indiana"
235,110007,18091,"LaPorte County, Indiana"
236,129641,18095,"Madison County, Indiana"
237,954670,18097,"Marion County, Indiana"
238,146917,18105,"Monroe County, Indiana"
239,70116,18109,"Morgan County, Indiana"
240,169594,18127,"Porter County, Indiana"
241,270771,18141,"St. Joseph County, Indiana"
242,193048,18157,"Tippecanoe County, Indiana"
243,180974,18163,"Vanderburgh County, Indiana"
244,107386,18167,"Vigo County, Indiana"
245,65936,18177,"Wayne County, Indiana"
246,132408,19013,"Black Hawk County, Iowa"
