Total,Has a computer,Has a computer With dial-up Internet subscription alone,Has a computer With a broadband Internet subscription,Has a computer Without an Internet subscription,Total No computer,id,Geographic Area Name
83501,77443,305,70029,7109,6058,1003,"Baldwin County, Alabama"
44264,38768,229,33804,4735,5496,1015,"Calhoun County, Alabama"
30323,26269,204,24005,2060,4054,1043,"Cullman County, Alabama"
26462,22675,0,20564,2111,3787,1049,"DeKalb County, Alabama"
30155,26120,41,23855,2224,4035,1051,"Elmore County, Alabama"
38625,34041,0,31393,2648,4584,1055,"Etowah County, Alabama"
38861,31815,192,28515,3108,7046,1069,"Houston County, Alabama"
255940,228104,163,210527,17414,27836,1073,"Jefferson County, Alabama"
38670,33173,50,29038,4085,5497,1077,"Lauderdale County, Alabama"
59336,54953,237,48004,6712,4383,1081,"Lee County, Alabama"
32333,29448,42,26420,2986,2885,1083,"Limestone County, Alabama"
152723,142330,94,133546,8690,10393,1089,"Madison County, Alabama"
36022,31983,0,29851,2132,4039,1095,"Marshall County, Alabama"
158627,139806,3176,120923,15707,18821,1097,"Mobile County, Alabama"
87553,77480,136,71036,6308,10073,1101,"Montgomery County, Alabama"
45851,39562,34,36457,3071,6289,1103,"Morgan County, Alabama"
30765,27064,170,24977,1917,3701,1115,"St. Clair County, Alabama"
80944,77041,85,72383,4573,3903,1117,"Shelby County, Alabama"
31219,26614,78,24974,1562,4605,1121,"Talladega County, Alabama"
74053,66782,332,60190,6260,7271,1125,"Tuscaloosa County, Alabama"
24870,20611,91,18716,1804,4259,1127,"Walker County, Alabama"
105285,102774,37,96052,6685,2511,2020,"Anchorage Municipality, Alaska"
36378,35386,463,32317,2606,992,2090,"Fairbanks North Star Borough, Alaska"
32198,30574,97,27975,2502,1624,2170,"Matanuska-Susitna Borough, Alaska"
21936,11613,13,7460,4140,10323,4001,"Apache County, Arizona"
49751,44638,82,41176,3380,5113,4003,"Cochise County, Arizona"
47275,44044,134,37912,5998,3231,4005,"Coconino County, Arizona"
1582464,1500214,4530,1391150,104534,82250,4013,"Maricopa County, Arizona"
90270,80602,207,73861,6534,9668,4015,"Mohave County, Arizona"
34285,27048,115,21340,5593,7237,4017,"Navajo County, Arizona"
402323,376840,1417,348349,27074,25483,4019,"Pima County, Arizona"
147936,138369,357,127064,10948,9567,4021,"Pinal County, Arizona"
100836,92633,439,84689,7505,8203,4025,"Yavapai County, Arizona"
74532,66552,446,58292,7814,7980,4027,"Yuma County, Arizona"
100128,94182,89,83734,10359,5946,5007,"Benton County, Arkansas"
42631,39087,0,33592,5495,3544,5031,"Craighead County, Arkansas"
43701,39629,53,34958,4618,4072,5045,"Faulkner County, Arkansas"
40407,37110,34,32944,4132,3297,5051,"Garland County, Arkansas"
25689,22166,163,17287,4716,3523,5069,"Jefferson County, Arkansas"
28132,25624,19,23581,2024,2508,5085,"Lonoke County, Arkansas"
157678,143655,301,126525,16829,14023,5119,"Pulaski County, Arkansas"
43496,40809,191,36738,3880,2687,5125,"Saline County, Arkansas"
51739,47160,95,41011,6054,4579,5131,"Sebastian County, Arkansas"
90001,84136,390,72529,11217,5865,5143,"Washington County, Arkansas"
29577,25602,0,23085,2517,3975,5145,"White County, Arkansas"
575410,549040,836,523387,24817,26370,6001,"Alameda County, California"
88636,83087,46,77247,5794,5549,6007,"Butte County, California"
396133,380012,472,366087,13453,16121,6013,"Contra Costa County, California"
72774,69132,146,65325,3661,3642,6017,"El Dorado County, California"
309519,279866,323,249462,30081,29653,6019,"Fresno County, California"
55773,52300,85,48190,4025,3473,6023,"Humboldt County, California"
41764,38640,49,35417,3174,3124,6025,"Imperial County, California"
