"B17026_001E","B17026_001M","B17026_002E","B17026_002M","B17026_003E","B17026_003M","B17026_004E","B17026_004M","B17026_005E","B17026_005M","B17026_006E","B17026_006M","B17026_007E","B17026_007M","B17026_008E","B17026_008M","B17026_009E","B17026_009M","B17026_010E","B17026_010M","B17026_011E","B17026_011M","B17026_012E","B17026_012M","B17026_013E","B17026_013M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Under .50","Margin of Error!!Total!!Under .50","Estimate!!Total!!.50 to .74","Margin of Error!!Total!!.50 to .74","Estimate!!Total!!.75 to .99","Margin of Error!!Total!!.75 to .99","Estimate!!Total!!1.00 to 1.24","Margin of Error!!Total!!1.00 to 1.24","Estimate!!Total!!1.25 to 1.49","Margin of Error!!Total!!1.25 to 1.49","Estimate!!Total!!1.50 to 1.74","Margin of Error!!Total!!1.50 to 1.74","Estimate!!Total!!1.75 to 1.84","Margin of Error!!Total!!1.75 to 1.84","Estimate!!Total!!1.85 to 1.99","Margin of Error!!Total!!1.85 to 1.99","Estimate!!Total!!2.00 to 2.99","Margin of Error!!Total!!2.00 to 2.99","Estimate!!Total!!3.00 to 3.99","Margin of Error!!Total!!3.00 to 3.99","Estimate!!Total!!4.00 to 4.99","Margin of Error!!Total!!4.00 to 4.99","Estimate!!Total!!5.00 and over","Margin of Error!!Total!!5.00 and over","id","Geographic Area Name"
"55354","3201","1535","692","1088","563","936","530","1791","1126","2625","1313","2586","1108","1124","530","1139","451","9483","1874","8228","1602","6709","1416","18110","2527","0500000US01003","Baldwin County, Alabama"
"30110","1952","1124","494","1424","665","2222","1068","1708","809","1919","652","1026","530","504","287","513","424","4473","1180","5079","1294","2854","716","7264","1265","0500000US01015","Calhoun County, Alabama"
"21587","1452","1183","507","765","517","717","447","516","261","1222","536","833","425","1096","620","902","569","5114","1119","2609","653","1663","583","4967","971","0500000US01043","Cullman County, Alabama"
"19148","1468","1027","601","1081","619","1385","693","944","428","989","552","859","489","832","681","480","252","3454","905","2796","690","1718","642","3583","855","0500000US01049","DeKalb County, Alabama"
"22103","1558","988","543","279","316","135","130","631","489","450","468","1406","656","322","346","300","256","4272","1158","4482","1170","3229","889","5609","1272","0500000US01051","Elmore County, Alabama"
"26319","1982","1337","522","1138","559","1229","616","1520","605","1154","528","1226","618","763","420","482","259","4748","1182","4136","992","2402","738","6184","1103","0500000US01055","Etowah County, Alabama"
"25002","959","1193","301","938","305","808","356","1162","351","1054","284","1084","343","382","152","684","237","4231","578","3307","469","3327","576","6832","659","0500000US01069","Houston County, Alabama"
"159115","4844","7194","1350","4648","1058","5930","1336","5152","1273","5222","1441","6789","1368","3070","1014","2404","848","23520","2598","23556","2530","16289","2162","55341","3308","0500000US01073","Jefferson County, Alabama"
"27140","1870","1176","653","931","513","794","401","1100","508","771","380","1099","495","240","163","998","494","5066","1212","4321","1015","3709","1043","6935","1349","0500000US01077","Lauderdale County, Alabama"
