"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"218022","*****","0500000US01003","Baldwin County, Alabama"
"114277","*****","0500000US01015","Calhoun County, Alabama"
"83442","*****","0500000US01043","Cullman County, Alabama"
"71385","*****","0500000US01049","DeKalb County, Alabama"
"81887","*****","0500000US01051","Elmore County, Alabama"
"102501","*****","0500000US01055","Etowah County, Alabama"
"104722","*****","0500000US01069","Houston County, Alabama"
"659300","*****","0500000US01073","Jefferson County, Alabama"
"92387","*****","0500000US01077","Lauderdale County, Alabama"
"163941","*****","0500000US01081","Lee County, Alabama"
"96174","*****","0500000US01083","Limestone County, Alabama"
"366519","*****","0500000US01089","Madison County, Alabama"
"96109","*****","0500000US01095","Marshall County, Alabama"
"413757","*****","0500000US01097","Mobile County, Alabama"
"225763","*****","0500000US01101","Montgomery County, Alabama"
"119089","*****","0500000US01103","Morgan County, Alabama"
"88690","*****","0500000US01115","St. Clair County, Alabama"
"215707","*****","0500000US01117","Shelby County, Alabama"
"79828","*****","0500000US01121","Talladega County, Alabama"
"208911","*****","0500000US01125","Tuscaloosa County, Alabama"
"63711","*****","0500000US01127","Walker County, Alabama"
"291538","*****","0500000US02020","Anchorage Municipality, Alaska"
"98971","*****","0500000US02090","Fairbanks North Star Borough, Alaska"
"107610","*****","0500000US02170","Matanuska-Susitna Borough, Alaska"
"71818","*****","0500000US04001","Apache County, Arizona"
"126770","*****","0500000US04003","Cochise County, Arizona"
"142854","*****","0500000US04005","Coconino County, Arizona"
"4410824","*****","0500000US04013","Maricopa County, Arizona"
"209550","*****","0500000US04015","Mohave County, Arizona"
"110445","*****","0500000US04017","Navajo County, Arizona"
"1039073","*****","0500000US04019","Pima County, Arizona"
"447138","*****","0500000US04021","Pinal County, Arizona"
"231993","*****","0500000US04025","Yavapai County, Arizona"
"212128","*****","0500000US04027","Yuma County, Arizona"
"272608","*****","0500000US05007","Benton County, Arkansas"
"108558","*****","0500000US05031","Craighead County, Arkansas"
"124806","*****","0500000US05045","Faulkner County, Arkansas"
"99154","*****","0500000US05051","Garland County, Arkansas"
"68114","*****","0500000US05069","Jefferson County, Arkansas"
"73657","*****","0500000US05085","Lonoke County, Arkansas"
"392680","*****","0500000US05119","Pulaski County, Arkansas"
"121421","*****","0500000US05125","Saline County, Arkansas"
"127753","*****","0500000US05131","Sebastian County, Arkansas"
"236961","*****","0500000US05143","Washington County, Arkansas"
"78727","*****","0500000US05145","White County, Arkansas"
"1666753","*****","0500000US06001","Alameda County, California"
"231256","*****","0500000US06007","Butte County, California"
"1150215","*****","0500000US06013","Contra Costa County, California"
"190678","*****","0500000US06017","El Dorado County, California"
"994400","*****","0500000US06019","Fresno County, California"
"136373","*****","0500000US06023","Humboldt County, California"
"181827","*****","0500000US06025","Imperial County, California"
"896764","*****","0500000US06029","Kern County, California"
"151366","*****","0500000US06031","Kings County, California"
"64382","*****","0500000US06033","Lake County, California"
"10105518","*****","0500000US06037","Los Angeles County, California"
"157672","*****","0500000US06039","Madera County, California"
"259666","*****","0500000US06041","Marin County, California"
"87606","*****","0500000US06045","Mendocino County, California"
"274765","*****","0500000US06047","Merced County, California"
"435594","*****","0500000US06053","Monterey County, California"
"139417","*****","0500000US06055","Napa County, California"
"99696","*****","0500000US06057","Nevada County, California"
"3185968","*****","0500000US06059","Orange County, California"
"393149","*****","0500000US06061","Placer County, California"
"2450758","*****","0500000US06065","Riverside County, California"
"1540975","*****","0500000US06067","Sacramento County, California"
"2171603","*****","0500000US06071","San Bernardino County, California"
"3343364","*****","0500000US06073","San Diego County, California"
"883305","*****","0500000US06075","San Francisco County, California"
"752660","*****","0500000US06077","San Joaquin County, California"
"284010","*****","0500000US06079","San Luis Obispo County, California"
"769545","*****","0500000US06081","San Mateo County, California"
"446527","*****","0500000US06083","Santa Barbara County, California"
"1937570","*****","0500000US06085","Santa Clara County, California"
"274255","*****","0500000US06087","Santa Cruz County, California"
"180040","*****","0500000US06089","Shasta County, California"
"446610","*****","0500000US06095","Solano County, California"
"499942","*****","0500000US06097","Sonoma County, California"
"549815","*****","0500000US06099","Stanislaus County, California"
"96807","*****","0500000US06101","Sutter County, California"
"465861","*****","0500000US06107","Tulare County, California"
"850967","*****","0500000US06111","Ventura County, California"
"220408","*****","0500000US06113","Yolo County, California"
"78041","*****","0500000US06115","Yuba County, California"
"511868","*****","0500000US08001","Adams County, Colorado"
"651215","*****","0500000US08005","Arapahoe County, Colorado"
"326078","*****","0500000US08013","Boulder County, Colorado"
"69267","*****","0500000US08014","Broomfield County, Colorado"
"716492","*****","0500000US08031","Denver County, Colorado"
"342776","*****","0500000US08035","Douglas County, Colorado"
"713856","*****","0500000US08041","El Paso County, Colorado"
"580233","*****","0500000US08059","Jefferson County, Colorado"
"350518","*****","0500000US08069","Larimer County, Colorado"
"153207","*****","0500000US08077","Mesa County, Colorado"
"167529","*****","0500000US08101","Pueblo County, Colorado"
"314305","*****","0500000US08123","Weld County, Colorado"
"943823","*****","0500000US09001","Fairfield County, Connecticut"
"892697","*****","0500000US09003","Hartford County, Connecticut"
"181111","*****","0500000US09005","Litchfield County, Connecticut"
"162682","*****","0500000US09007","Middlesex County, Connecticut"
"857620","*****","0500000US09009","New Haven County, Connecticut"
"266784","*****","0500000US09011","New London County, Connecticut"
"150921","*****","0500000US09013","Tolland County, Connecticut"
"117027","*****","0500000US09015","Windham County, Connecticut"
"178550","*****","0500000US10001","Kent County, Delaware"
"559335","*****","0500000US10003","New Castle County, Delaware"
"229286","*****","0500000US10005","Sussex County, Delaware"
"702455","*****","0500000US11001","District of Columbia, District of Columbia"
"269956","*****","0500000US12001","Alachua County, Florida"
"185287","*****","0500000US12005","Bay County, Florida"
"596849","*****","0500000US12009","Brevard County, Florida"
"1951260","*****","0500000US12011","Broward County, Florida"
"184998","*****","0500000US12015","Charlotte County, Florida"
"147929","*****","0500000US12017","Citrus County, Florida"
"216072","*****","0500000US12019","Clay County, Florida"
"378488","*****","0500000US12021","Collier County, Florida"
"70503","*****","0500000US12023","Columbia County, Florida"
"950181","*****","0500000US12031","Duval County, Florida"
"315534","*****","0500000US12033","Escambia County, Florida"
"112067","*****","0500000US12035","Flagler County, Florida"
"190865","*****","0500000US12053","Hernando County, Florida"
"105424","*****","0500000US12055","Highlands County, Florida"
"1436888","*****","0500000US12057","Hillsborough County, Florida"
"157413","*****","0500000US12061","Indian River County, Florida"
"356495","*****","0500000US12069","Lake County, Florida"
"754610","*****","0500000US12071","Lee County, Florida"
"292502","*****","0500000US12073","Leon County, Florida"
"394855","*****","0500000US12081","Manatee County, Florida"
"359977","*****","0500000US12083","Marion County, Florida"
"160912","*****","0500000US12085","Martin County, Florida"
"2761581","*****","0500000US12086","Miami-Dade County, Florida"
"75027","*****","0500000US12087","Monroe County, Florida"
"85832","*****","0500000US12089","Nassau County, Florida"
"207269","*****","0500000US12091","Okaloosa County, Florida"
"1380645","*****","0500000US12095","Orange County, Florida"
"367990","*****","0500000US12097","Osceola County, Florida"
"1485941","*****","0500000US12099","Palm Beach County, Florida"
"539630","*****","0500000US12101","Pasco County, Florida"
"975280","*****","0500000US12103","Pinellas County, Florida"
"708009","*****","0500000US12105","Polk County, Florida"
"74163","*****","0500000US12107","Putnam County, Florida"
"254261","*****","0500000US12109","St. Johns County, Florida"
"321128","*****","0500000US12111","St. Lucie County, Florida"
"179349","*****","0500000US12113","Santa Rosa County, Florida"
"426718","*****","0500000US12115","Sarasota County, Florida"
"467832","*****","0500000US12117","Seminole County, Florida"
"128754","*****","0500000US12119","Sumter County, Florida"
"547538","*****","0500000US12127","Volusia County, Florida"
"71375","*****","0500000US12131","Walton County, Florida"
"80809","*****","0500000US13013","Barrow County, Georgia"
"106408","*****","0500000US13015","Bartow County, Georgia"
"153095","*****","0500000US13021","Bibb County, Georgia"
"77296","*****","0500000US13031","Bulloch County, Georgia"
"118121","*****","0500000US13045","Carroll County, Georgia"
"67420","*****","0500000US13047","Catoosa County, Georgia"
"289195","*****","0500000US13051","Chatham County, Georgia"
"254149","*****","0500000US13057","Cherokee County, Georgia"
"127330","*****","0500000US13059","Clarke County, Georgia"
"289615","*****","0500000US13063","Clayton County, Georgia"
"756865","*****","0500000US13067","Cobb County, Georgia"
"154291","*****","0500000US13073","Columbia County, Georgia"
"145864","*****","0500000US13077","Coweta County, Georgia"
"756558","*****","0500000US13089","DeKalb County, Georgia"
"91243","*****","0500000US13095","Dougherty County, Georgia"
"145331","*****","0500000US13097","Douglas County, Georgia"
"113459","*****","0500000US13113","Fayette County, Georgia"
"97927","*****","0500000US13115","Floyd County, Georgia"
