id,total,has_computer,no_computer
1003,83501,77443,6058
1015,44264,38768,5496
1043,30323,26269,4054
1049,26462,22675,3787
1051,30155,26120,4035
1055,38625,34041,4584
1069,38861,31815,7046
1073,255940,228104,27836
1077,38670,33173,5497
1081,59336,54953,4383
1083,32333,29448,2885
1089,152723,142330,10393
1095,36022,31983,4039
1097,158627,139806,18821
1101,87553,77480,10073
1103,45851,39562,6289
1115,30765,27064,3701
1117,80944,77041,3903
1121,31219,26614,4605
1125,74053,66782,7271
1127,24870,20611,4259
2020,105285,102774,2511
2090,36378,35386,992
2170,32198,30574,1624
4001,21936,11613,10323
4003,49751,44638,5113
4005,47275,44044,3231
4013,1582464,1500214,82250
4015,90270,80602,9668
4017,34285,27048,7237
4019,402323,376840,25483
4021,147936,138369,9567
4025,100836,92633,8203
4027,74532,66552,7980
5007,100128,94182,5946
5031,42631,39087,3544
5045,43701,39629,4072
5051,40407,37110,3297
5069,25689,22166,3523
5085,28132,25624,2508
5119,157678,143655,14023
5125,43496,40809,2687
5131,51739,47160,4579
5143,90001,84136,5865
5145,29577,25602,3975
6001,575410,549040,26370
6007,88636,83087,5549
6013,396133,380012,16121
6017,72774,69132,3642
6019,309519,279866,29653
6023,55773,52300,3473
6025,41764,38640,3124
6029,273167,251273,21894
6031,43727,40173,3554
6033,26774,24036,2738
6037,3313908,3094720,219188
6039,44484,40738,3746
6041,104954,101622,3332
6045,33794,30311,3483
6047,79487,73109,6378
6053,126299,118675,7624
6055,47315,44730,2585
6057,41447,38969,2478
6059,1040394,1000857,39537
6061,144691,138946,5745
6065,728103,687688,40415
6067,543560,518300,25260
6071,638647,604937,33710
6073,1130911,1086855,44056
6075,362827,340536,22291
6077,231917,217678,14239
6079,106198,99874,6324
6081,259654,250464,9190
6083,146224,138374,7850
6085,645108,623546,21562
6087,94994,89378,5616
6089,68198,63143,5055
6095,152291,145529,6762
6097,187434,179720,7714
6099,175171,162869,12302
6101,31989,29191,2798
6107,139197,122672,16525
