id,total,dialup,broadband,no_internet
1003,83501,305,70029,7109
1015,44264,229,33804,4735
1043,30323,204,24005,2060
1049,26462,0,20564,2111
1051,30155,41,23855,2224
1055,38625,0,31393,2648
1069,38861,192,28515,3108
1073,255940,163,210527,17414
1077,38670,50,29038,4085
1081,59336,237,48004,6712
1083,32333,42,26420,2986
1089,152723,94,133546,8690
1095,36022,0,29851,2132
1097,158627,3176,120923,15707
1101,87553,136,71036,6308
1103,45851,34,36457,3071
1115,30765,170,24977,1917
1117,80944,85,72383,4573
1121,31219,78,24974,1562
1125,74053,332,60190,6260
1127,24870,91,18716,1804
2020,105285,37,96052,6685
2090,36378,463,32317,2606
2170,32198,97,27975,2502
4001,21936,13,7460,4140
4003,49751,82,41176,3380
4005,47275,134,37912,5998
4013,1582464,4530,1391150,104534
4015,90270,207,73861,6534
4017,34285,115,21340,5593
4019,402323,1417,348349,27074
4021,147936,357,127064,10948
4025,100836,439,84689,7505
4027,74532,446,58292,7814
5007,100128,89,83734,10359
5031,42631,0,33592,5495
5045,43701,53,34958,4618
5051,40407,34,32944,4132
5069,25689,163,17287,4716
5085,28132,19,23581,2024
5119,157678,301,126525,16829
5125,43496,191,36738,3880
5131,51739,95,41011,6054
5143,90001,390,72529,11217
5145,29577,0,23085,2517
6001,575410,836,523387,24817
6007,88636,46,77247,5794
6013,396133,472,366087,13453
6017,72774,146,65325,3661
6019,309519,323,249462,30081
6023,55773,85,48190,4025
6025,41764,49,35417,3174
6029,273167,445,227482,23346
6031,43727,0,36458,3715
6033,26774,0,21104,2932
6037,3313908,5738,2839783,249199
6039,44484,73,38547,2118
6041,104954,256,98240,3126
6045,33794,203,28375,1733
6047,79487,0,69242,3867
6053,126299,147,109291,9237
6055,47315,105,42947,1678
6057,41447,183,36189,2597
6059,1040394,1581,952953,46323
6061,144691,247,130702,7997
6065,728103,1423,639503,46762
6067,543560,1204,489254,27842
6071,638647,1148,545085,58704
6073,1130911,1811,1037027,48017
6075,362827,722,321542,18272
6077,231917,1015,195383,21280
6079,106198,412,92921,6541
6081,259654,820,238585,11059
6083,146224,398,131312,6664
6085,645108,936,598900,23710
6087,94994,124,83206,6048
6089,68198,290,58228,4625
6095,152291,70,140315,5144
6097,187434,958,172276,6486
6099,175171,402,150982,11485
6101,31989,43,27216,1932
6107,139197,119,108483,14070
6111,271980,238,242224,12351
6113,74428,0,67374,3360
6115,26191,0,19673,3073
8001,168361,479,147051,11375
8005,242141,318,221236,10572
8013,128295,242,117647,5532
8014,28530,92,26406,1468
8031,310324,710,272966,21242
8035,125035,151,120428,2278
8041,260851,638,239023,8120
8059,233272,717,211471,7776
8069,139382,283,125794,7724
8077,61848,232,52193,4570
8101,64954,196,50531,7189
8123,107929,206,96263,6282
9001,345634,698,310128,14395
9003,348049,739,297169,22275
9005,73598,228,62917,4375
9007,66983,164,58736,3616
9009,335539,935,280598,22310
9011,108098,214,94696,5130
9013,55619,201,48628,3198
9015,44571,166,37318,3016
10001,67841,228,57421,2946
10003,206351,344,187641,8023
10005,93479,213,77971,6630
11001,287476,182,244913,21518
12001,97782,139,84455,8813
12005,73856,65,63684,4288
12009,226363,797,199410,9330
12011,694980,1164,595375,59060
12015,74975,183,64209,3555
12017,62293,46,50992,6067
12019,75958,142,70205,2921
12021,144172,188,122867,11239
12023,25678,0,20518,3482
12031,367238,620,320444,21862
12033,118820,273,98491,10570
12035,41274,0,30427,5948
12053,76163,199,65765,5077
12055,40573,117,31378,3464
12057,540142,389,477938,35961
12061,57636,118,46965,4163
12069,136366,278,120393,6823
12071,281222,838,243916,20160
12073,113390,144,99142,7504
12081,150814,60,131214,10994
12083,143441,458,119117,7968
12085,63070,263,55526,3299
12086,895801,706,707253,129560
12087,31362,28,27749,2592
12089,32624,345,28730,2240
12091,79570,148,69189,6124
12095,458157,911,403975,31773
12097,102705,44,87428,10269
12099,552286,1348,481594,39611
12101,205128,504,170476,15421
12103,405892,1007,336756,32667
12105,241171,1157,174011,41815
12107,27927,119,23060,1699
12109,90109,419,78321,6889
12111,118768,46,105975,7578
12113,63891,111,57071,3354
12115,183721,217,160015,11148
12117,179274,182,157971,13534
12119,62854,295,55604,2715
12127,218423,448,178431,25194
12131,28770,291,25017,1408
13013,27525,0,23905,1749
13015,35506,0,27321,6176
13021,57905,143,44744,5338
13031,27097,0,21394,2955
13045,41197,53,33884,2430
13047,24722,52,21131,817
13051,107921,79,95083,5928
13057,89974,0,84871,2825
13059,49698,47,43062,3032
13063,96286,431,73866,15299
13067,283094,529,264117,11734
13073,47167,0,40863,3219
13077,52114,60,43765,4332
13089,287001,331,249065,19952
13095,33717,0,25381,4532
13097,49534,209,42413,5414
13113,39366,142,35405,1421
13115,34672,0,26306,3025
13117,81353,95,77709,1576
13121,417157,467,369239,22531
13127,34634,47,28359,3039
13135,297658,64,266630,18449
13139,64990,122,56688,3744
13151,75926,120,64789,8718
13153,58155,45,50905,4004
13157,23640,0,21112,910
13185,41734,93,22598,10219
13215,72862,149,58876,6431
13217,38436,100,35545,1760
13223,53630,0,48198,2906
13245,70534,292,53401,8429
13247,31460,392,26787,3073
13255,25659,0,17121,5550
13285,25417,61,18967,3545
13295,26895,23,21280,1921
13297,32624,70,28616,1157
13313,36658,0,30006,1634
15001,71565,125,53346,8068
15003,308208,383,269233,16722
15007,22685,80,19852,446
15009,52794,248,44019,4510
16001,178712,640,159970,11521
16005,30635,114,26718,1949
16019,40224,112,36291,1772
16027,74520,143,65528,4996
16055,64955,159,54683,4223
16083,32041,137,26909,2116
17001,26397,18,21452,1543
17019,84290,268,70421,8044
17031,1981796,4147,1652270,151485
17037,38849,124,34821,2165
17043,345714,536,316315,11939
17089,183633,523,161931,10110
17091,40642,55,31661,4364
17093,40716,23,37045,2090
17097,246620,772,223259,10164
17099,44714,155,36943,3111
17111,114544,332,106618,3003
17113,65998,169,55721,7096
17115,44562,26,35846,3285
17119,108977,202,92916,6106
17143,71506,190,58415,6320
17161,61009,178,50928,4083
17163,104803,576,80071,14846
17167,83006,305,66306,9818
17179,54123,133,45120,3032
17183,30166,96,22663,2027
17197,231647,444,207241,12703
17199,27815,85,20978,1746
17201,114337,67,98615,5560
18003,147638,231,125511,9849
18005,31891,0,26498,1495
18011,24808,147,23030,351
18019,45905,36,35091,7442
18035,45311,119,35226,5125
18039,73660,164,61914,4748
18043,30300,65,24656,3736
18053,26923,59,20219,3416
18057,122876,72,115410,4461
18059,29605,114,24176,3696
18063,60368,85,54523,4309
18067,35139,0,27689,5105
18081,57504,96,51760,2868
18085,30798,149,24992,3396
18089,186769,334,153757,11873
18091,43122,110,35007,4657
18095,50426,118,40288,4358
18097,373634,321,299158,33294
18105,57102,0,50066,3907
18109,25968,121,22078,1283
18127,66144,143,56610,4029
18141,107730,475,85889,11201
18157,70446,56,60720,6706
18163,75058,137,61967,5626
18167,43262,30,37725,3279
18177,28338,107,21645,3287
19013,53386,173,44592,3416
19049,35492,0,32164,2002
19061,38501,152,31657,2345
19103,60868,43,54824,4032
19113,91747,341,79565,4828
19153,189546,428,164401,12978
19155,36635,12,29047,3635
19163,66905,88,57177,3653
19169,37290,143,28916,6656
19193,39253,124,32408,2751
20015,24692,46,21124,1289
20045,48907,210,43203,3534
20091,231184,489,214295,8081
20103,26654,0,22716,1728
20161,26617,0,23679,2284
20173,198024,545,167272,16196
20177,72788,284,51553,13133
20209,60708,105,48943,6253
21015,47684,208,43198,2630
21029,29789,98,25236,2346
21037,36992,1040,29348,3161
21047,26114,121,20888,2142
21059,39590,72,33457,1953
21067,131067,177,118325,7006
21093,41625,81,31254,6348
21111,311263,538,266088,14764
21117,64611,180,57573,2262
21145,27650,0,23527,1793
21151,33396,290,28027,2133
21185,21237,96,19826,570
21227,48843,0,42110,3413
22005,45102,140,40028,1810
22015,50099,66,29813,15279
22017,94778,205,62586,19786
22019,78351,61,60157,8062
22033,163274,216,139436,10298
22045,25386,0,19844,1823
22051,167596,262,134213,14283
22055,94002,79,81857,5714
22057,35838,0,28116,3119
22063,49084,63,42530,3998
22071,155104,100,119773,16419
22073,55599,398,41170,4534
22079,48915,168,40165,3475
22097,29965,118,16542,5538
22103,93589,193,80805,6268
22105,47401,68,38389,3104
22109,37911,79,31279,1998
23001,44897,117,37408,3333
23003,29931,556,20419,3884
23005,123485,298,109537,4968
23011,54299,312,44166,3835
23019,61765,473,51076,4099
23031,88416,598,75782,4891
24001,27190,82,21139,1592
24003,212687,85,195307,6242
24005,313259,459,274596,15512
24009,32145,0,28535,1470
24013,60371,142,52913,1930
24015,36620,54,30166,2418
24017,56947,150,49735,2508
24021,95903,85,86364,3698
24025,94802,401,84378,3615
24027,116903,251,110161,3121
24031,368334,715,340267,14652
24033,315759,242,277133,23582
24037,41239,107,35714,2168
24043,56306,109,45824,3842
24045,38084,59,30320,3240
24510,237204,569,182628,26358
25001,86671,102,77634,4399
25003,55212,191,46851,2616
25005,215132,380,176758,14262
25009,295481,508,255215,16828
25011,30391,133,24687,2849
25013,178678,946,141366,13219
25015,58902,268,50886,3612
25017,612224,873,553979,22134
25021,267880,424,242941,10065
25023,189304,201,166542,10992
25025,315049,528,269519,20646
25027,308831,747,270744,13810
26005,43992,227,36830,2945
26017,44469,30,37698,2102
26021,64783,112,47699,10428
26025,53914,135,44706,4251
26037,29783,145,25615,1589
26045,44879,87,39091,2869
26049,169469,457,133698,14273
26055,36782,89,31662,2878
26065,112170,116,93222,12463
26073,25367,74,19865,3392
26075,62598,213,51579,4435
26077,104234,716,91524,4424
26081,244046,475,211684,14731
26087,33560,161,27751,2260
26091,38388,118,31399,3183
26093,72676,38,65699,3951
26099,347508,585,304203,15719
26103,26328,16,21249,1968
26111,34091,13,28099,1835
26115,61586,144,51382,4456
26121,67196,421,55119,5173
26125,503645,575,450298,20519
26139,103438,354,91047,5806
26145,78740,311,64284,4745
26147,65751,110,55606,3377
26155,28218,47,23400,2430
26159,28607,132,23286,2429
26161,143072,34,130433,6939
26163,687546,1279,535280,78749
27003,128140,610,116417,4403
27013,26362,31,23272,1396
27019,36925,28,33668,1588
27037,162496,220,149581,6042
27053,508964,1005,447202,33936
27109,63462,306,54907,4067
27123,209287,837,182473,11180
27131,23358,49,19884,1038
27137,84370,544,67717,5953
27139,50040,77,46335,1732
27141,32033,213,29351,1121
27145,58510,243,48917,4603
27163,96387,356,88123,2697
27171,48863,134,43026,1611
28033,63075,59,56621,2898
28035,27248,0,20589,2557
28047,82375,205,68299,7179
28049,85483,74,68908,7352
28059,51659,371,42788,4296
28067,25098,6,15548,7080
28075,29993,81,24034,1854
28081,32527,55,24502,3736
28089,40229,0,37350,1254
28121,55483,125,45690,5649
