total,id,geographic_area_name
218022,1003,"Baldwin County, Alabama"
114277,1015,"Calhoun County, Alabama"
83442,1043,"Cullman County, Alabama"
71385,1049,"DeKalb County, Alabama"
81887,1051,"Elmore County, Alabama"
102501,1055,"Etowah County, Alabama"
104722,1069,"Houston County, Alabama"
659300,1073,"Jefferson County, Alabama"
92387,1077,"Lauderdale County, Alabama"
163941,1081,"Lee County, Alabama"
96174,1083,"Limestone County, Alabama"
366519,1089,"Madison County, Alabama"
96109,1095,"Marshall County, Alabama"
413757,1097,"Mobile County, Alabama"
225763,1101,"Montgomery County, Alabama"
119089,1103,"Morgan County, Alabama"
88690,1115,"St. Clair County, Alabama"
215707,1117,"Shelby County, Alabama"
79828,1121,"Talladega County, Alabama"
208911,1125,"Tuscaloosa County, Alabama"
63711,1127,"Walker County, Alabama"
291538,2020,"Anchorage Municipality, Alaska"
98971,2090,"Fairbanks North Star Borough, Alaska"
107610,2170,"Matanuska-Susitna Borough, Alaska"
71818,4001,"Apache County, Arizona"
126770,4003,"Cochise County, Arizona"
142854,4005,"Coconino County, Arizona"
4410824,4013,"Maricopa County, Arizona"
209550,4015,"Mohave County, Arizona"
110445,4017,"Navajo County, Arizona"
1039073,4019,"Pima County, Arizona"
447138,4021,"Pinal County, Arizona"
231993,4025,"Yavapai County, Arizona"
212128,4027,"Yuma County, Arizona"
272608,5007,"Benton County, Arkansas"
108558,5031,"Craighead County, Arkansas"
124806,5045,"Faulkner County, Arkansas"
99154,5051,"Garland County, Arkansas"
68114,5069,"Jefferson County, Arkansas"
73657,5085,"Lonoke County, Arkansas"
392680,5119,"Pulaski County, Arkansas"
121421,5125,"Saline County, Arkansas"
127753,5131,"Sebastian County, Arkansas"
236961,5143,"Washington County, Arkansas"
78727,5145,"White County, Arkansas"
1666753,6001,"Alameda County, California"
231256,6007,"Butte County, California"
1150215,6013,"Contra Costa County, California"
190678,6017,"El Dorado County, California"
994400,6019,"Fresno County, California"
136373,6023,"Humboldt County, California"
181827,6025,"Imperial County, California"
896764,6029,"Kern County, California"
151366,6031,"Kings County, California"
64382,6033,"Lake County, California"
10105518,6037,"Los Angeles County, California"
157672,6039,"Madera County, California"
259666,6041,"Marin County, California"
87606,6045,"Mendocino County, California"
274765,6047,"Merced County, California"
435594,6053,"Monterey County, California"
139417,6055,"Napa County, California"
99696,6057,"Nevada County, California"
3185968,6059,"Orange County, California"
393149,6061,"Placer County, California"
2450758,6065,"Riverside County, California"
1540975,6067,"Sacramento County, California"
2171603,6071,"San Bernardino County, California"
3343364,6073,"San Diego County, California"
883305,6075,"San Francisco County, California"
752660,6077,"San Joaquin County, California"
284010,6079,"San Luis Obispo County, California"
769545,6081,"San Mateo County, California"
446527,6083,"Santa Barbara County, California"
1937570,6085,"Santa Clara County, California"
274255,6087,"Santa Cruz County, California"
180040,6089,"Shasta County, California"
446610,6095,"Solano County, California"
499942,6097,"Sonoma County, California"
549815,6099,"Stanislaus County, California"
96807,6101,"Sutter County, California"
465861,6107,"Tulare County, California"
850967,6111,"Ventura County, California"
220408,6113,"Yolo County, California"
78041,6115,"Yuba County, California"
511868,8001,"Adams County, Colorado"
651215,8005,"Arapahoe County, Colorado"
326078,8013,"Boulder County, Colorado"
69267,8014,"Broomfield County, Colorado"
716492,8031,"Denver County, Colorado"
342776,8035,"Douglas County, Colorado"
713856,8041,"El Paso County, Colorado"
580233,8059,"Jefferson County, Colorado"
350518,8069,"Larimer County, Colorado"
153207,8077,"Mesa County, Colorado"
167529,8101,"Pueblo County, Colorado"
314305,8123,"Weld County, Colorado"
943823,9001,"Fairfield County, Connecticut"
892697,9003,"Hartford County, Connecticut"
181111,9005,"Litchfield County, Connecticut"
162682,9007,"Middlesex County, Connecticut"
857620,9009,"New Haven County, Connecticut"
266784,9011,"New London County, Connecticut"
150921,9013,"Tolland County, Connecticut"
117027,9015,"Windham County, Connecticut"
178550,10001,"Kent County, Delaware"
559335,10003,"New Castle County, Delaware"
229286,10005,"Sussex County, Delaware"
702455,11001,"District of Columbia, District of Columbia"
269956,12001,"Alachua County, Florida"
185287,12005,"Bay County, Florida"
596849,12009,"Brevard County, Florida"
1951260,12011,"Broward County, Florida"
184998,12015,"Charlotte County, Florida"
147929,12017,"Citrus County, Florida"
216072,12019,"Clay County, Florida"
378488,12021,"Collier County, Florida"
70503,12023,"Columbia County, Florida"
950181,12031,"Duval County, Florida"
315534,12033,"Escambia County, Florida"
112067,12035,"Flagler County, Florida"
190865,12053,"Hernando County, Florida"
105424,12055,"Highlands County, Florida"
1436888,12057,"Hillsborough County, Florida"
157413,12061,"Indian River County, Florida"
356495,12069,"Lake County, Florida"
754610,12071,"Lee County, Florida"
292502,12073,"Leon County, Florida"
394855,12081,"Manatee County, Florida"
359977,12083,"Marion County, Florida"
160912,12085,"Martin County, Florida"
2761581,12086,"Miami-Dade County, Florida"
75027,12087,"Monroe County, Florida"
85832,12089,"Nassau County, Florida"
207269,12091,"Okaloosa County, Florida"
1380645,12095,"Orange County, Florida"
367990,12097,"Osceola County, Florida"
1485941,12099,"Palm Beach County, Florida"
539630,12101,"Pasco County, Florida"
975280,12103,"Pinellas County, Florida"
708009,12105,"Polk County, Florida"
74163,12107,"Putnam County, Florida"
254261,12109,"St. Johns County, Florida"
321128,12111,"St. Lucie County, Florida"
179349,12113,"Santa Rosa County, Florida"
426718,12115,"Sarasota County, Florida"
467832,12117,"Seminole County, Florida"
128754,12119,"Sumter County, Florida"
547538,12127,"Volusia County, Florida"
71375,12131,"Walton County, Florida"
80809,13013,"Barrow County, Georgia"
106408,13015,"Bartow County, Georgia"
153095,13021,"Bibb County, Georgia"
77296,13031,"Bulloch County, Georgia"
118121,13045,"Carroll County, Georgia"
67420,13047,"Catoosa County, Georgia"
289195,13051,"Chatham County, Georgia"
254149,13057,"Cherokee County, Georgia"
127330,13059,"Clarke County, Georgia"
289615,13063,"Clayton County, Georgia"
756865,13067,"Cobb County, Georgia"
154291,13073,"Columbia County, Georgia"
145864,13077,"Coweta County, Georgia"
756558,13089,"DeKalb County, Georgia"
91243,13095,"Dougherty County, Georgia"
145331,13097,"Douglas County, Georgia"
113459,13113,"Fayette County, Georgia"
97927,13115,"Floyd County, Georgia"
236612,13117,"Forsyth County, Georgia"
1050114,13121,"Fulton County, Georgia"
85219,13127,"Glynn County, Georgia"
927781,13135,"Gwinnett County, Georgia"
202148,13139,"Hall County, Georgia"
230220,13151,"Henry County, Georgia"
155469,13153,"Houston County, Georgia"
70422,13157,"Jackson County, Georgia"
116321,13185,"Lowndes County, Georgia"
194160,13215,"Muscogee County, Georgia"
109541,13217,"Newton County, Georgia"
164044,13223,"Paulding County, Georgia"
201554,13245,"Richmond County, Georgia"
